insee_com,siren_epci,usage_2021,surfaces_ha
01001,200069193,A_a,9.37496875
01001,200069193,A_h,54.68751250
01001,200069193,A_i,42.18751875
01001,200069193,C,748.00
01001,200069193,C_t,77.00
01001,200069193,C_ve,2.250
01001,200069193,C_vi,9.000
01001,200069193,F_c,17.25
01001,200069193,F_f,398.75
01001,200069193,F_m,1.75
01001,200069193,F_p,7.00
01001,200069193,H_a,11.00
01001,200069193,P_a,2.75
01001,200069193,P_h,183.25
01002,240100883,A_a,4.25000000
01002,240100883,A_h,16.76390400
01002,240100883,A_i,12.98609600
01002,240100883,C,36.25
01002,240100883,C_t,1.50
01002,240100883,C_ve,0.0000000000000000000000
01002,240100883,C_vi,4.5000000000000000000000
01002,240100883,F_c,11.00
01002,240100883,F_f,671.75
01002,240100883,F_m,0.75
01002,240100883,H_a,2.50
01002,240100883,P_a,6.50
01002,240100883,P_h,137.50
01002,240100883,P_m,11.00
01004,240100883,A_a,52.58283250
01004,240100883,A_h,342.65838750
01004,240100883,A_i,468.25878000
01004,240100883,C,182.00
01004,240100883,C_t,8.75
01004,240100883,C_ve,0.100
01004,240100883,C_vi,0.400
01004,240100883,F_c,136.75
01004,240100883,F_f,1116.75
01004,240100883,F_m,16.25
01004,240100883,H_a,8.50
01004,240100883,O,1.75
01004,240100883,P_a,5.25
01004,240100883,P_h,100.00
01004,240100883,P_m,14.75
01005,200042497,A_a,14.47751650
01005,200042497,A_h,68.63443450
01005,200042497,A_i,72.38789350
01005,200042497,C,901.75
01005,200042497,C_t,108.00
01005,200042497,C_ve,1.450
01005,200042497,C_vi,5.800
01005,200042497,F_f,160.00
01005,200042497,F_m,4.50
01005,200042497,F_p,16.50
01005,200042497,H_a,126.50
01005,200042497,H_n,0.25
01005,200042497,O,0.25
01005,200042497,P_a,9.25
01005,200042497,P_h,105.50
01005,200042497,P_m,9.75
01006,200040350,A_a,0.75343125
01006,200040350,A_h,6.02739500
01006,200040350,A_i,6.96917375
01006,200040350,C,19.75
01006,200040350,C_t,4.50
01006,200040350,F_c,7.00
01006,200040350,F_f,441.75
01006,200040350,F_m,4.25
01006,200040350,H_a,5.00
01006,200040350,P_a,0.25
01006,200040350,P_h,99.75
01006,200040350,P_m,6.25
01007,240100883,A_a,24.37849500
01007,240100883,A_h,271.99966750
01007,240100883,A_i,201.12183750
01007,240100883,C,1127.25
01007,240100883,C_t,166.75
01007,240100883,C_ve,0.100
01007,240100883,C_vi,0.400
01007,240100883,F_c,111.25
01007,240100883,F_f,901.75
01007,240100883,F_m,73.00
01007,240100883,H_a,44.25
01007,240100883,H_n,0.25
01007,240100883,O,19.75
01007,240100883,P_a,10.75
01007,240100883,P_h,398.75
01007,240100883,P_m,17.00
01008,240100883,A_a,3.46846500
01008,240100883,A_h,23.53604000
01008,240100883,A_i,27.99549500
01008,240100883,C,182.25
01008,240100883,C_t,14.25
01008,240100883,C_ve,1.150
01008,240100883,C_vi,4.600
01008,240100883,F_f,161.25
01008,240100883,H_a,0.50
01008,240100883,P_h,99.25
01009,200040350,A_a,4.43044225
01009,200040350,A_h,29.97052825
01009,200040350,A_i,20.84902950
01009,200040350,C,78.25
01009,200040350,C_t,23.00
01009,200040350,C_ve,5.3586956521739130434600
01009,200040350,C_vi,23.6413043478260869565400
01009,200040350,F_c,0.75
01009,200040350,F_f,396.75
01009,200040350,F_m,3.75
01009,200040350,F_p,4.25
01009,200040350,H_a,7.75
01009,200040350,P_a,4.75
01009,200040350,P_h,96.00
01009,200040350,P_m,2.75
01010,200070852,A_a,10.35481475
01010,200070852,A_h,133.20166125
01010,200070852,A_i,89.19329125
01010,200070852,C,189.50
01010,200070852,C_t,33.00
01010,200070852,C_ve,0.0000000000000000000000
01010,200070852,C_vi,1.7500000000000000000000
01010,200070852,F_f,1710.50
01010,200070852,F_m,226.00
01010,200070852,F_p,1.25
01010,200070852,H_a,116.25
01010,200070852,H_n,0.75
01010,200070852,O,1.50
01010,200070852,P_a,21.75
01010,200070852,P_h,417.00
01010,200070852,P_m,2.50
01011,200042935,A_a,2.26245000
01011,200042935,A_h,19.90950000
01011,200042935,A_i,27.82805000
01011,200042935,C,28.75
01011,200042935,C_ve,0.050
01011,200042935,C_vi,0.200
01011,200042935,F_c,430.25
01011,200042935,F_f,123.75
01011,200042935,F_m,505.00
01011,200042935,H_a,1.25
01011,200042935,H_n,0.50
01011,200042935,P_a,3.75
01011,200042935,P_h,362.75
01011,200042935,P_m,2.50
01012,240100578,A_a,3.74166750
01012,240100578,A_h,30.59385250
01012,240100578,A_i,31.91448000
01012,240100578,C,106.00
01012,240100578,C_t,23.00
01012,240100578,C_ve,0.050
01012,240100578,C_vi,0.200
01012,240100578,F_c,386.00
01012,240100578,F_f,899.25
01012,240100578,F_m,170.00
01012,240100578,H_a,2.75
01012,240100578,O,1.00
01012,240100578,P_a,7.75
01012,240100578,P_h,509.00
01013,240100883,A_a,0.50381100
01013,240100883,A_h,11.33586300
01013,240100883,A_i,21.16029300
01013,240100883,C,79.00
01013,240100883,C_t,70.25
01013,240100883,F_c,325.75
01013,240100883,F_f,450.00
01013,240100883,F_m,103.50
01013,240100883,H_a,1.00
01013,240100883,P_a,1.50
01013,240100883,P_h,341.75
01013,240100883,P_m,1.50
01014,200042935,A_a,14.03436450
01014,200042935,A_h,94.23147500
01014,200042935,A_i,197.23416050
01014,200042935,C,62.75
01014,200042935,C_t,1.00
01014,200042935,F_c,659.50
01014,200042935,F_f,344.00
01014,200042935,F_m,886.00
01014,200042935,H_a,2.25
01014,200042935,H_n,0.25
01014,200042935,P_a,9.50
01014,200042935,P_h,81.00
01014,200042935,P_m,15.00
01015,200040350,A_a,8.41027875
01015,200040350,A_h,71.75005125
01015,200040350,A_i,73.58967000
01015,200040350,C,368.25
01015,200040350,C_t,73.25
01015,200040350,C_ve,0.0000000000000000000000
01015,200040350,C_vi,7.2500000000000000000000
01015,200040350,F_c,4.75
01015,200040350,F_f,1252.25
01015,200040350,F_m,99.25
01015,200040350,F_p,12.75
01015,200040350,H_a,16.25
01015,200040350,O,0.50
01015,200040350,P_a,5.75
01015,200040350,P_h,262.25
01015,200040350,P_m,5.25
01016,200071371,A_a,3.30947975
01016,200071371,A_h,48.73968225
01016,200071371,A_i,35.20083800
01016,200071371,C,377.25
01016,200071371,C_t,28.00
01016,200071371,C_ve,0.050
01016,200071371,C_vi,0.200
01016,200071371,F_f,380.75
01016,200071371,F_m,5.00
01016,200071371,F_p,18.00
01016,200071371,H_a,48.00
01016,200071371,O,0.25
01016,200071371,P_a,1.25
01016,200071371,P_h,811.75
01016,200071371,P_m,0.25
01017,240100883,A_a,7.71907475
01017,240100883,A_h,21.87075950
01017,240100883,A_i,27.66010850
01017,240100883,C,12.50
01017,240100883,C_ve,0.0000000000000000000000
01017,240100883,C_vi,2.2500000000000000000000
01017,240100883,F_c,14.00
01017,240100883,F_f,544.25
01017,240100883,F_m,22.25
01017,240100883,H_a,4.50
01017,240100883,P_a,1.75
01017,240100883,P_h,123.25
01019,200040350,A_a,0.00000000
01019,200040350,A_h,1.79487000
01019,200040350,A_i,5.20513000
01019,200040350,C,9.50
01019,200040350,C_t,0.25
01019,200040350,F_c,47.00
01019,200040350,F_f,426.25
01019,200040350,F_m,58.50
01019,200040350,P_a,0.75
01019,200040350,P_h,147.25
01021,200042497,A_a,12.06161450
01021,200042497,A_h,41.94172300
01021,200042497,A_i,48.24666250
01021,200042497,C,392.75
01021,200042497,C_t,25.00
01021,200042497,C_ve,0.250
01021,200042497,C_vi,1.000
01021,200042497,F_f,24.50
01021,200042497,H_a,2.50
01021,200042497,P_a,0.25
01021,200042497,P_h,5.25
01022,200040350,A_a,9.34038350
01022,200040350,A_h,52.41012475
01022,200040350,A_i,47.99938200
01022,200040350,C,63.00
01022,200040350,C_t,4.25
01022,200040350,C_ve,0.050
01022,200040350,C_vi,0.200
01022,200040350,F_f,83.75
01022,200040350,F_m,45.00
01022,200040350,F_p,2.50
01022,200040350,H_a,4.25
01022,200040350,P_a,1.50
01022,200040350,P_h,12.50
01022,200040350,P_m,5.75
01023,200071371,A_a,1.13461425
01023,200071371,A_h,8.22595700
01023,200071371,A_i,5.38942875
01023,200071371,C,191.00
01023,200071371,C_t,11.00
01023,200071371,F_f,18.50
01023,200071371,F_p,1.50
01023,200071371,H_a,38.75
01023,200071371,P_a,0.25
01023,200071371,P_h,192.25
01024,200071751,A_a,22.10712400
01024,200071751,A_h,174.51600450
01024,200071751,A_i,145.12687150
01024,200071751,C,648.75
01024,200071751,C_t,101.50
01024,200071751,F_c,7.00
01024,200071751,F_f,255.75
01024,200071751,F_m,4.50
01024,200071751,F_p,9.50
