nom,insee,POPULATION,departement,region,epci
Sainte-Valière,11366,577,11,76,241100593
Corbère,66055,728,66,76,246600415
Moussac,86171,443,86,75,200070043
Boissettes,77038,412,77,11,247700057
Meschers-sur-Gironde,17230,3087,17,75,241700640
Oison,45231,132,45,24,244500542
Bas-et-Lezat,63030,314,63,84,200071199
Lentilly,69112,5390,69,84,246900625
Lavoncourt,70299,327,70,27,247000623
Bardouville,76056,655,76,28,200023414
Blosville,50059,306,50,28,200042729
Le Châtelet,18059,1041,18,24,200049484
Laulne,50265,174,50,28,200067031
Moréac,56140,3759,56,53,200067221
Aubrometz,62047,152,62,32,200069672
Charleville-sous-Bois,57128,294,57,44,200067957
Sainte-Euphémie,01353,1647,01,84,200042497
Aubers,59025,1586,59,32,245900410
Saint-Exupéry-les-Roches,19201,585,19,75,200066744
Jancigny,21323,143,21,27,200072825
Vert-Toulon,51611,300,51,44,200067684
Thiberville,27629,1827,27,28,200066017
Vauciennes,60658,683,60,32,246000871
Dordives,45127,3301,45,24,244500419
Villereau,59619,975,59,32,200043321
Mélisey,70339,1680,70,27,247000854
Lys,58150,106,58,27,200067692
Viarmes,95652,5213,95,11,200073013
Prusy,10309,98,10,44,200071041
Léoncel,26163,58,26,84,200067767
Marfontaine,02463,82,02,32,240200444
Louvroil,59365,6651,59,32,200043396
Aire,08004,220,08,44,200043156
Fresnoy-la-Rivière,60260,641,60,32,246000871
Siorac-en-Périgord,24538,1037,24,75,200041051
Taponnat-Fleurignac,16379,1541,16,75,200068914
Bertreville,76084,118,76,28,200069839
Hauteville-sur-Mer,50231,689,50,28,200067023
Luzech,46182,1783,46,76,244600433
Sollacaro,2A284,352,2A,94,242010130
Parcoul-Chenaud,24316,747,24,75,242400935
Lassur,09159,75,09,76,200066363
Saint-Illiers-le-Bois,78559,434,78,11,200071074
Cenon,33119,24547,33,75,243300316
Sondersdorf,68312,343,68,44,200066041
Ayguemorte-les-Graves,33023,1216,33,75,243301264
Beffes,18025,658,18,24,200032514
Assainvillers,80032,119,80,32,200070977
Étrabonne,25225,195,25,27,200041887
Allez-et-Cazeneuve,47006,590,47,75,200023307
Caligny,61070,841,61,28,200035814
Viuz-la-Chiésaz,74310,1342,74,84,200066793
Hazebrouck,59295,21709,59,32,200040947
Aguts,81001,214,81,76,248100158
Cambron,80163,741,80,32,200070993
Omonville,76485,264,76,28,200068534
Le Plantis,61331,156,61,28,200035103
Saint-Quirc,09275,382,09,76,200066231
Saint-Prix,03257,782,03,84,240300491
Montigny-sur-Loing,77312,2728,77,11,247700032
Tarabel,31551,409,31,76,200071298
Mechmont,46190,123,46,76,200023737
Méolans-Revel,04161,337,04,93,200072304
Saint-François-de-Sales,73234,155,73,84,200069110
Cassaniouze,15029,536,15,84,200066678
Jeantes,02391,211,02,32,240200600
Saint-Agnin-sur-Bion,38351,993,38,84,200059392
Triac-Lautrait,16387,449,16,75,200070514
Sury,08432,104,08,44,200067759
Leurville,52286,91,52,44,200069664
Le Perreux-sur-Marne,94058,33970,94,11,200054781
Dosnon,10130,115,10,44,200071777
Estarvielle,65171,30,65,76,246500573
Pech-Luna,11278,84,11,76,200035707
Le Troncq,27663,175,27,28,242700607
La Trimouille,86273,901,86,75,200070043
Méounes-lès-Montrieux,83077,2152,83,93,200068104
Villaines-sous-Malicorne,72377,1031,72,52,247200348
Schœnenbourg,67455,687,67,44,200040178
Surtauville,27623,486,27,28,200035665
Padoux,88340,512,88,44,200068757
Villegongis,36242,121,36,24,243600293
Kerlouan,29091,2207,29,53,242900793
Le Pasquier,39406,263,39,27,200069623
Albertville,73011,18969,73,84,200068997
Amenoncourt,54013,82,54,44,200069433
Ballainvilliers,91044,4358,91,11,200056232
Montarlot-lès-Rioz,70355,283,70,27,247000706
Amiens,80021,132874,80,32,248000531
Le Retail,79226,281,79,75,200041333
Bosjean,71044,319,71,27,200042414
La Bresse,88075,4243,88,44,200071157
Seilhan,31542,203,31,76,200072635
Bellavilliers,61037,149,61,28,200036069
Les Piards,39417,154,39,27,243900610
Rimling,57584,615,57,44,200069441
Calès,24073,398,24,75,200034833
La Favière,39221,23,39,27,200069623
Beaubec-la-Rosière,76060,496,76,28,200069730
Saint-Brisson-sur-Loire,45271,996,45,24,244500211
Bénouville,14060,2099,14,28,200065597
Sablet,84104,1249,84,93,248400335
Plaintel,22171,4285,22,53,200069409
Mentheville,76425,293,76,28,247600505
Bernouville,27059,294,27,28,200071843
Saint-Léger-la-Montagne,87159,344,87,75,200066512
Villar-Saint-Anselme,11415,106,11,76,200071926
Allainville,78009,305,78,11,200073344
Hésingue,68135,2660,68,44,200066058
Estampures,65170,73,65,76,200070795
Gouzangrez,95282,171,95,11,200035970
Oléac-Dessus,65333,131,65,76,200070803
Lailly-en-Val,45179,3043,45,24,200070183
Saint-Suliac,35314,925,35,53,243500782
Jumel,80452,515,80,32,200070969
Pradières,09234,115,09,76,200067791
Neschers,63250,830,63,84,200070407
Lahourcade,64306,696,64,75,200039204
Hargicourt,80419,396,80,32,200070977
Berville-en-Caux,76087,635,76,28,200069847
Port-Vendres,66148,4195,66,76,200043602
Courcerac,17126,308,17,75,200041689
Saint-Symphorien,79298,1882,79,75,200041317
Sarre-Union,67434,2906,67,44,200067841
Thiembronne,62812,864,62,32,200069037
Helfaut,62423,1642,62,32,200069037
Loubès-Bernac,47151,389,47,75,244700449
Touquin,77469,1201,77,11,200077055
Montpézat,32289,242,32,76,243200599
Beaumont-du-Lac,87009,156,87,75,248719353
Dunkerque,59183,88876,59,32,245900428
Ville-Langy,58311,276,58,27,200067908
Ponteilla,66145,2797,66,76,200027183
Hargarten-aux-Mines,57296,1130,57,44,200067650
Struth,67483,249,67,44,200067783
Saint-Sulpice,53254,244,53,52,245300447
Capbreton,40065,8776,40,75,244000865
Gayan,65189,269,65,76,200069300
Hecken,68125,460,68,44,200066033
Bouzic,24063,152,24,75,200041440
Saint-Raphaël,83118,35296,83,93,200035319
Saint-Barthélemy-Grozon,07216,510,07,84,200016905
Hautefort,24210,962,24,75,200041150
Teulat,81298,483,81,76,200034023
Saint-Maurice-de-Beynost,01376,3963,01,84,240100800
Tilloloy,80759,349,80,32,200070977
Coulanges-lès-Nevers,58088,3601,58,27,245804406
Thury,89416,442,89,27,200067130
Sainte-Barbe,88410,282,88,44,200005957
Mollkirch,67299,925,67,44,246700744
Bezinghem,62127,362,62,32,200069235
Saint-Ouen-les-Vignes,37230,1016,37,24,200043065
Saint-Léger-lès-Authie,80705,93,80,32,248000747
Joncherey,90056,1305,90,27,249000241
Castelnau-d'Arbieu,32078,234,32,76,243200391
Wimille,62894,4125,62,32,246200729
Pulvérières,63290,406,63,84,200070753
Gournay-sur-Marne,93033,6852,93,11,200054781
Contreuve,08130,73,08,44,240800920
Higuères-Souye,64262,280,64,75,200067296
Champrenault,21141,33,21,27,200071017
Bain-de-Bretagne,35012,7335,35,53,200070662
Trévoux,01427,6768,01,84,200042497
Anchamps,08011,222,08,44,240800821
Semarey,21600,124,21,27,200071207
Nîmes,30189,150672,30,76,243000643
Villeneuve-en-Montagne,71579,158,71,27,247104094
Jonage,69279,5849,69,84,200046977
Saint-Symphorien-sur-Couze,87184,250,87,75,248719262
Hestrud,59306,296,59,32,200043263
Durtol,63141,1996,63,84,246300701
Buxières-lès-Clefmont,52085,26,52,44,200072999
Demi-Quartier,74099,912,74,84,200034882
Betton,35024,10879,35,53,243500139
Louvrechy,80494,201,80,32,200070969
Roucy,02656,382,02,32,240200576
Loreux,41118,224,41,24,200018406
Pousthomy,12186,214,12,76,200067163
Madirac,33263,226,33,75,243301215
Vimpelles,77524,523,77,11,200040251
Saint-Michel-de-Chavaignes,72303,750,72,52,200072684
Lachapelle,47126,76,47,75,244700464
Étaves-et-Bocquiaux,02293,579,02,32,240200493
Noyelles-sur-Selle,59440,721,59,32,200042190
Bassignac-le-Bas,19017,91,19,75,200066751
Aubigny-en-Artois,62045,1461,62,32,200069482
Puilacher,34222,518,34,76,243400694
Saint-Thibault,10363,539,10,44,200069250
Savigny-le-Temple,77445,30260,77,11,200059228
Favresse,51246,223,51,44,200042992
Dracy-Saint-Loup,71184,579,71,27,200070530
Aucamville,82005,1250,82,76,200066652
Saint-Léger-sur-Roanne,42253,1130,42,84,200035731
Massoulès,47162,204,47,75,200068930
Vailly,10391,292,10,44,200069250
Meauzac,82108,1351,82,76,200067122
Foissac,30111,412,30,76,200034379
Barnas,07025,206,07,84,200039824
Saint-Jean-de-Daye,50488,617,50,28,200066389
Loubaresse,07144,34,07,84,240700302
Fontenailles,77191,1075,77,11,247700701
Mellac,29147,2970,29,53,242900694
Bresdon,17062,233,17,75,200041689
Gonnehem,62376,2559,62,32,200072460
Montirat,81180,257,81,76,200040905
Marolles-sur-Seine,77279,1697,77,11,247700107
Auribeau,84006,73,84,93,200040624
La Bauche,73033,512,73,84,200040111
Corbeil-Cerf,60162,356,60,32,246000582
Berry-Bouy,18028,1186,18,24,241800507
Rochetaillée-sur-Saône,69168,1506,69,84,200046977
Frebécourt,88183,302,88,44,200068559
Villevoques,45343,213,45,24,244500419
Gesvres-le-Chapitre,77205,156,77,11,200072130
Caucourt,62218,346,62,32,200072460
Baudinard-sur-Verdon,83014,221,83,93,200040210
Saint-Gérons,15189,219,15,84,200066678
Plan,38308,256,38,84,200059392
Foug,54205,2713,54,44,200070563
Lingolsheim,67267,18328,67,44,246700488
Marsais,17221,905,17,75,200041614
Verneuil-sous-Coucy,02786,126,02,32,200071769
Chazelles-sur-Lyon,42059,5219,42,84,200065894
Izeure,21319,844,21,27,200000925
Gensac-de-Boulogne,31218,117,31,76,200072643
Égat,66064,446,66,76,246600399
Savignac-les-Ormeaux,09283,381,09,76,200066363
Lanteuil,19105,536,19,75,200066769
Usson-en-Forez,42318,1500,42,84,200065886
Sagnat,23166,196,23,75,200067510
Loisey,55298,306,55,44,200033025
Claira,66050,4027,66,76,200070365
Combourg,35085,5862,35,53,243500733
Puéchoursi,81214,93,81,76,243100567
Noirémont,60465,176,60,32,200068005
Lunel,34145,25178,34,76,243400520
La Valette,38521,73,38,84,200040657
Argentan,61006,13769,61,28,200068450
La Celle-Saint-Cyr,89063,819,89,27,248900938
Aveluy,80047,524,80,32,248000747
Claville-Motteville,76177,282,76,28,200070449
Saint-Philippe-d'Aiguille,33461,377,33,75,200035533
Saliceto,2B267,59,2B,94,200073138
Pujaudran,32334,1461,32,76,200023620
Saint-Léon-d'Issigeac,24441,109,24,75,200040889
Sault-de-Navailles,64510,868,64,75,200039204
Lugos,33260,886,33,75,243301405
Lanrivain,22115,486,22,53,242200715
Herrin,59304,416,59,32,200041960
Apremont,08017,120,08,44,240800920
Crollon,50155,299,50,28,200069425
Rieulay,59501,1364,59,32,245901152
Mayres,63218,189,63,84,200070761
Rouède,31461,289,31,76,200073146
Sabadel-Lauzès,46245,83,46,76,244600573
Le Grès,31234,431,31,76,200071314
Fournels,48064,366,48,76,200069144
Labastide-d'Anjou,11178,1291,11,76,200035855
Saint-Jean-lès-Buzy,55458,369,55,44,245501242
Boncourt-le-Bois,21088,291,21,27,200070894
Valserres,05176,253,05,93,200067320
Oisy,59446,594,59,32,200042190
Grosrouvre,78289,913,78,11,247800618
Paulhaguet,43148,887,43,84,200073393
Marsolan,32239,471,32,76,243200391
Val-de-Vesle,51571,921,51,44,200067213
Germigny,51267,187,51,44,200067213
Le Bouyssou,46036,143,46,76,200067361
Sainte-Agnès,38350,567,38,84,200018166
Vichel,63456,342,63,84,200070407
Passavant-la-Rochère,70404,616,70,27,200041721
Bricqueville,14107,176,14,28,200066801
Sens-sur-Seille,71514,397,71,27,200042414
Hécourt,27326,347,27,28,200072312
Avallon,89025,6807,89,27,200039758
La Brède,33213,4109,33,75,243301264
Saint-Germain-du-Puy,18213,5076,18,24,241800507
Plouëc-du-Trieux,22212,1131,22,53,200067981
Villefrancon,70557,138,70,27,247000698
Rocles,07196,241,07,84,240700302
Mosnes,37161,787,37,24,200043065
Chaux-la-Lotière,70145,430,70,27,247000706
Culmont,52155,554,52,44,200070332
Saint-Germain-d'Étables,76582,269,76,28,200068534
Sallenelles,14665,304,14,28,200065563
Saint-Onen-la-Chapelle,35302,1191,35,53,200038990
Miscon,26186,59,26,84,242600534
Croisilles,61138,202,61,28,200069458
Vernioz,38536,1236,38,84,243800778
Plourin-lès-Morlaix,29207,4368,29,53,242900835
Courgent,78185,388,78,11,247800550
Nogent,52353,3865,52,44,200068658
Rieucazé,31452,51,31,76,200072643
Le Chastang,19048,375,19,75,241927201
Rochetaillée,52431,163,52,44,200027308
Sarcé,72327,296,72,52,200073112
Viterne,54586,729,54,44,245400171
Mory,62594,322,62,32,200035442
Laberlière,60329,195,60,32,246000855
Beauvais-sur-Tescou,81024,342,81,76,200066124
Honnecourt-sur-Escaut,59312,787,59,32,200068500
Puycasquier,32335,468,32,76,200066926
Vaux-en-Dieulet,08463,54,08,44,240800920
Bracon,39072,267,39,27,200071595
Marcillé-Robert,35165,977,35,53,243500634
Saint-Sériès,34288,951,34,76,243400520
Bailleval,60042,1494,60,32,246000129
Oresmaux,80611,882,80,32,200071181
Grancey-le-Château-Neuvelle,21304,253,21,27,200070910
Meillant,18142,677,18,24,200036135
La Grand-Croix,42103,5072,42,84,244200770
Houdain-lez-Bavay,59315,886,59,32,200043321
Narrosse,40202,3174,40,75,244000675
Étaples,62318,11196,62,32,200069029
Duffort,32116,139,32,76,200035756
Bertre,81030,121,81,76,248100158
Chezelle,03075,193,03,84,200071389
Carnoët,22031,683,22,53,200067981
Les Aires,34008,618,34,76,200042646
Saint-Martin-de-Villereglan,11355,379,11,76,200071926
Labastide-du-Haut-Mont,46135,48,46,76,200067361
Andert-et-Condon,01009,342,01,84,200040350
Doussay,86096,661,86,75,248600413
Soussey-sur-Brionne,21613,147,21,27,200071017
La Neuville-au-Pont,51399,553,51,44,200042703
Charny,21147,34,21,27,200071017
Oisseau,53170,1178,53,52,245300389
Loudenvielle,65282,286,65,76,246500573
Ménarmont,88298,69,88,44,200005957
Saint-Baslemont,88411,81,88,44,200068773
Arc-lès-Gray,70026,2530,70,27,200036549
Fontenay-aux-Roses,92032,23963,92,11,200054781
Frœningen,68099,695,68,44,200066041
Azat-Châtenet,23014,106,23,75,200067510
La Chavanne,73082,637,73,84,200041010
Huez,38191,1335,38,84,243800745
Orcenais,18171,252,18,24,200036135
Castiglione,2B081,40,2B,94,200073138
Limé,02432,184,02,32,240200501
Villemoisson-sur-Orge,91667,6909,91,11,200057859
Plobannalec-Lesconil,29165,3440,29,53,242900702
Meyrieux-Trouet,73156,315,73,84,247300262
Larressore,64317,1925,64,75,200067106
Le Rialet,81223,54,81,76,248100745
Soual,81289,2495,81,76,248100158
Rouves,54464,106,54,44,200070589
Montcléra,46200,281,46,76,200035327
Le Pin,14504,808,14,28,200069532
Saint-Maurice-sur-Mortagne,88425,181,88,44,200005957
Puymiclan,47216,636,47,75,200030674
La Motte-d'Aigues,84084,1344,84,93,248400285
Chaumont-devant-Damvillers,55107,49,55,44,200066173
Rémondans-Vaivre,25485,233,25,27,200065647
Eix,55171,256,55,44,245501242
Connezac,24131,78,24,75,200071819
Chassagne,63097,71,63,84,200070407
Irais,79141,206,79,75,200041416
Herbisse,10172,171,10,44,200071777
Verdun-en-Lauragais,11407,278,11,76,200035855
Anglure-sous-Dun,71008,163,71,27,200070548
Saint-Remy,88435,518,88,44,200071066
Magny,68196,305,68,44,200066033
Camembert,61071,187,61,28,200069458
Rigny-Ussé,37197,494,37,24,200072650
Pettoncourt,57538,288,57,44,245701206
Pommier-de-Beaurepaire,38311,710,38,84,243800844
Entrange,57194,1269,57,44,245700695
Brienon-sur-Armançon,89055,3152,89,27,200067304
Blacy,51065,670,51,44,200034718
Chaumeil,19051,158,19,75,241900133
Mirbel,52326,42,52,44,200068658
Pont-Arcy,02612,129,02,32,240200501
Les Pradeaux,63287,331,63,84,200070407
Saint-Pierre-de-Manneville,76634,886,76,28,200023414
Cavigny,50106,246,50,28,200066389
Arnac-Pompadour,19011,1135,19,75,200066603
Rombach-le-Franc,68283,801,68,44,246800395
Le Thillay,95612,4298,95,11,200055655
Urville,88482,58,88,44,200068682
Tramain,22341,684,22,53,200069391
Gottesheim,67162,335,67,44,200068112
Marillac-le-Franc,16209,825,16,75,200068914
Le Breuil,71059,3570,71,27,247100290
Espérausses,81086,173,81,76,200066553
Frasnay-Reugny,58119,84,58,27,200067908
Eyzerac,24171,565,24,75,242400752
Rousset,05127,171,05,93,200067320
Auménancourt,51025,1007,51,44,200067213
Noailly,42157,809,42,84,200035731
Sissonne,02720,2096,02,32,240200576
Wickersheim-Wilshausen,67530,418,67,44,246700959
Barleux,80054,232,80,32,200037059
Le Hérie-la-Viéville,02379,233,02,32,240200444
Ocqueville,76480,448,76,28,200069839
Mérenvielle,31339,485,31,76,243100781
Rosbruck,57596,772,57,44,245700372
Hurecourt,70287,42,70,27,200041721
Ovillers-la-Boisselle,80615,448,80,32,248000747
Pomacle,51439,436,51,44,200067213
Bussy,60117,324,60,32,246000756
Battigny,54052,132,54,44,245400510
Le Roux,07200,49,07,84,200072007
Saint-Clair-sur-l'Elle,50455,944,50,28,200066389
Quers,70432,367,70,27,200041861
Montautour,35185,261,35,53,200039022
Maîche,25356,4273,25,27,200023075
Pressigny,79218,182,79,75,200041333
Villers-sous-Saint-Leu,60686,2339,60,32,200067973
Thiéfosse,88467,618,88,44,200071157
Éguzon-Chantôme,36070,1375,36,24,200068872
Moyaux,14460,1346,14,28,200069532
Fays,52198,77,52,44,200068666
Gaillac,81099,15423,81,76,200066124
Escoussans,33156,322,33,75,200069581
Cheney,89098,245,89,27,200039642
Taugon,17439,800,17,75,200041499
Argenton-Notre-Dame,53006,213,53,52,245300447
Montilly,03184,524,03,84,200071140
Floing,08174,2443,08,44,200041630
Grand-Brassac,24200,529,24,75,200040400
La Neuville-lès-Bray,80593,266,80,32,248000747
Grèzes,46131,175,46,76,200067361
Saint-Clément-des-Baleines,17318,631,17,75,241700459
Bouvesse-Quirieu,38054,1504,38,84,200068542
Stenay,55502,2745,55,44,200066132
Luché-sur-Brioux,79158,138,79,75,200069755
Landudal,29107,879,29,53,200068120
Mailly,71271,156,71,27,247103864
Villeroy,77515,727,77,11,200033090
Saint-Évarzec,29247,3532,29,53,242900660
Saint-Maurice-de-Lestapel,47259,110,47,75,200036523
Saint-Gildas-des-Bois,44161,3751,44,52,200000438
Aston,09024,226,09,76,200066363
La Monnerie-le-Montel,63231,1772,63,84,200070712
Monlaur-Bernet,32272,160,32,76,200072320
Roche-la-Molière,42189,9868,42,84,244200770
Kœur-la-Grande,55263,171,55,44,245500327
Charencey,61429,821,61,28,200068856
Bursard,61068,207,61,28,200035111
Masevaux-Niederbruck,68201,3798,68,44,246800676
Gartempe,23088,124,23,75,200034825
Bonneuil-en-Valois,60083,1037,60,32,246000871
Mézières-sur-Couesnon,35178,1684,35,53,243500774
Véranne,42326,829,42,84,244200895
Tarnos,40312,12387,40,75,244000659
Vioménil,88515,146,88,44,200068773
Lumeau,28221,171,28,24,200070159
Saint-Victurnien,87185,1739,87,75,200059400
Châtelperron,03067,145,03,84,200071470
Boissey-le-Châtel,27077,915,27,28,200066405
Vaudevant,07335,200,07,84,200073096
Liebenswiller,68183,207,68,44,200066058
Le Nouvion-en-Thiérache,02558,2669,02,32,240200444
Grébault-Mesnil,80388,226,80,32,200070944
Rosheim,67411,5018,67,44,246700744
Saux-et-Pomarède,31536,278,31,76,200072643
Senozan,71513,1119,71,27,200070308
Maroilles,59384,1398,59,32,200043321
Taizé-Aizie,16378,590,16,75,200043016
Trémont,61492,124,61,28,200035103
Jardres,86114,1257,86,75,200069854
Saint-Thurial,35319,2084,35,53,243500618
Languimberg,57383,172,57,44,200068146
Saint-Morel,08392,213,08,44,240800920
Boô-Silhen,65098,288,65,76,200070811
Retonfey,57575,1375,57,44,200067957
Bélâbre,36016,980,36,24,200035137
Arrest,80029,864,80,32,200070993
Taybosc,32441,68,32,76,243200391
Hanviller,57294,214,57,44,200069441
Bazien,88042,79,88,44,200005957
Cussac,87054,1245,87,75,200066520
Perrou,61326,271,61,28,200068443
Blainville-sur-l'Eau,54076,3955,54,44,200067643
Garidech,31212,1741,31,76,243100732
Saint-Sauveur-en-Puisaye,89368,894,89,27,200067130
Brognon,21111,295,21,27,200069540
Gœulzin,59263,1019,59,32,200044618
Algrange,57012,6173,57,44,245701222
Champigny-la-Futelaye,27144,279,27,28,200071454
Tostat,65446,511,65,76,200072106
Saint-Ouen-le-Brisoult,61439,124,61,28,200071652
Salasc,34292,313,34,76,243400355
Tizac-de-Curton,33531,313,33,75,200070092
Ermenouville,76241,146,76,28,200069839
Vigeois,19285,1214,19,75,241927243
Lanmérin,22110,582,22,53,200065928
Glanville,14302,175,14,28,241400878
Saint-Pierre-de-Bœuf,42272,1752,42,84,244200895
Boursay,41024,173,41,24,244100293
Bram,11049,3254,11,76,200035707
Saint-Oradoux-de-Chirouze,23224,69,23,75,200066744
Devèze,65155,70,65,76,200070795
Hermillon,73135,572,73,84,200070464
Menton,06083,28231,06,93,240600551
Curgy,71162,1126,71,27,200070530
Goutz,32150,190,32,76,243200391
Héauville,50238,479,50,28,200067205
Langley,88260,163,88,44,200068757
Torcé-Viviers-en-Charnie,53265,763,53,52,200033298
Escandolières,12095,229,12,76,241200625
Sancy-lès-Provins,77444,329,77,11,200037133
Beauchamp,95051,8703,95,11,200058485
Demandolx,04069,130,04,93,200068625
Gillaumé,52222,42,52,44,200044253
Saint-Benoît-de-Carmaux,81244,2157,81,76,200040905
Fresnay-le-Long,76284,324,76,28,200068534
Tours-sur-Marne,51576,1385,51,44,245100615
Pageas,87112,588,87,75,200070506
Ferrières-les-Bois,25235,318,25,27,200041887
Saint-Sylvain,19245,140,19,75,200066751
Saint-Lyé,10349,2935,10,44,200069250
Mancey,71274,385,71,27,247103765
Saint-Gilles-les-Bois,22293,422,22,53,200069086
Blaymont,47030,213,47,75,200036572
Foulenay,39234,84,39,27,200069615
Limoges-Fourches,77252,456,77,11,247700057
Tresserre,66214,1043,66,76,246600449
Gémigny,45152,211,45,24,200035764
Seraucourt-le-Grand,02710,777,02,32,200071892
Renay,41187,160,41,24,200040772
Villers-sur-Port,70566,217,70,27,200041879
Clomot,21181,132,21,27,200071173
Wailly-Beaucamp,62870,1021,62,32,200069029
Saint-Barthélemy,56207,1191,56,53,200067221
Beaulencourt,62093,239,62,32,200035442
La Neuville-lès-Wasigny,08323,169,08,44,240800862
Henvic,29079,1321,29,53,242900835
Chaniat,43055,168,43,84,244301032
Clara-Villerach,66051,254,66,76,200049211
Aubermesnil-Beaumais,76030,457,76,28,247600786
Sarzeau,56240,7825,56,53,200067932
Cambes,46051,349,46,76,200067361
Pellefigue,32309,118,32,76,243200599
Aussac-Vadalle,16024,517,16,75,200072023
Maure,64372,107,64,75,200072106
Val de Chaise,74167,1327,74,84,247400773
Cars,33100,1165,33,75,200023794
Roquemaure,81228,435,81,76,200066124
Les Ayvelles,08040,928,08,44,200041630
La Neuville-Saint-Pierre,60457,167,60,32,200068005
Relanges,88381,212,88,44,200068773
Guincourt,08204,88,08,44,240800862
Uzelle,25574,171,25,27,200068294
Frénouville,14287,1979,14,28,200065589
Esbarres,21249,717,21,27,242101509
La Baume-de-Transit,26033,855,26,84,200042901
Le Lude,72176,4428,72,52,200073112
Lanouée,56102,1769,56,53,200066777
Sauzelles,36213,241,36,24,243600319
Chaulgnes,58067,1486,58,27,200068088
Raissac-sur-Lampy,11308,447,11,76,200035715
Quemperven,22257,386,22,53,200065928
Richebourg,62706,2590,62,32,200072460
Nogent-le-Phaye,28278,1378,28,24,200033181
Margency,95369,2944,95,11,200056380
Vouillon,36248,238,36,24,200068880
Poligné,35231,1182,35,53,200070662
Sauvagnac,16364,61,16,75,200072049
Héry-sur-Alby,74142,972,74,84,200066793
Aubignosc,04013,556,04,93,200071033
Breil-sur-Roya,06023,2271,06,93,240600551
Vergigny,89439,1560,89,27,200067304
Marsat,63212,1283,63,84,200070753
Ternant,58289,203,58,27,200067882
Bazemont,78049,1546,78,11,200034130
La Chapelle-Felcourt,51126,52,51,44,200042703
Sainte-Croix-de-Mareuil,24394,145,24,75,200041572
Labruyère,60332,677,60,32,246000129
Vy-lès-Lure,70581,665,70,27,247000664
Saint-Sulpice-le-Guérétois,23245,1989,23,75,200034825
Chambors,60140,317,60,32,246000707
Ports,37187,350,37,24,200072668
Paroy,25445,124,25,27,200068070
Plélan-le-Grand,35223,3852,35,53,243500618
Laval-de-Cère,46163,323,46,76,200066371
Villieu-Loyes-Mollon,01450,3507,01,84,240100883
Pau,64445,77215,64,75,200067254
Landouzy-la-Cour,02404,188,02,32,240200444
Pont-sur-l'Ognon,70420,67,70,27,247000714
Bieuxy,02087,29,02,32,200071991
Châteaubleau,77098,359,77,11,247700701
Passonfontaine,25447,316,25,27,242504181
Saint-Péreuse,58262,238,58,27,200067890
Siracourt,62797,275,62,32,200069672
Outriaz,01282,265,01,84,200042935
Gée-Rivière,32145,46,32,76,200030435
Rix,39461,73,39,27,200069623
Rouillé,86213,2452,86,75,200069854
Vilory,70569,72,70,27,200041879
Ferrals-les-Corbières,11140,1173,11,76,200035863
Salignac-sur-Charente,17418,611,17,75,200041523
Lapeyrouse,63187,563,63,84,200072080
Bazuel,59055,540,59,32,200030633
Villiers-en-Bière,77518,217,77,11,247700057
Sedze-Maubecq,64515,266,64,75,200072106
Coron,49109,1606,49,52,200071678
Germinon,51268,174,51,44,200067684
Conte,39165,61,39,27,200069623
Bermesnil,80084,224,80,32,200071181
Bilhac,19026,212,19,75,200066769
Saint-Castin,64472,859,64,75,200067296
Voudenay,21715,189,21,27,200071173
Bonnetan,33061,916,33,75,243301355
Vanves,92075,27806,92,11,200054781
Chamilly,71078,154,71,27,247100589
Serez,27621,140,27,28,200071454
Trévillers,25571,481,25,27,200023075
Pompierre,88352,231,88,44,200068559
Iwuy,59322,3317,59,32,200068500
Frenelle-la-Petite,88186,44,88,44,200068369
Glisy,80379,709,80,32,248000531
Levernois,21347,306,21,27,200006682
Charny-sur-Meuse,55102,528,55,44,200049187
Pionnat,23154,766,23,75,200067544
Saint-Cyr,87141,708,87,75,200066520
Varinfroy,60656,277,60,32,246000871
Les Ancizes-Comps,63004,1590,63,84,200072098
Prémierfait,10305,94,10,44,200070126
Saint-Marcel,36200,1583,36,24,200068872
Condat,15054,1017,15,84,200066637
Saint-Martin-de-Fontenay,14623,2594,14,28,200066728
Estampes,32126,162,32,76,200035756
Landelles-et-Coupigny,14352,892,14,28,200068799
Viviers-sur-Artaut,10439,122,10,44,200069003
Rochepaule,07192,269,07,84,200041465
Merville-Franceville-Plage,14409,2184,14,28,200065563
Coulaines,72095,7464,72,52,247200132
Chamborigaud,30080,829,30,76,200066918
Tassé,72347,333,72,52,200040475
Enghien-les-Bains,95210,11413,95,11,200056380
Seigné,17422,82,17,75,200041689
Verrue,86286,400,86,75,248600447
Saint-Couat-d'Aude,11337,409,11,76,200035863
Monclar,47173,861,47,75,244701405
Montgey,81179,291,81,76,243100567
Saint-Avold,57606,15748,57,44,200067502
Eaucourt-sur-Somme,80262,423,80,32,200070993
La Lande-d'Airou,50262,514,50,28,200043354
Saint-Vincent-des-Bois,27612,341,27,28,200072312
Thelonne,08445,393,08,44,200041630
Adelans-et-le-Val-de-Bithaine,70004,298,70,27,200041861
Le Bocasse,76105,679,76,28,200070449
Saint-Paul-de-Varax,01383,1476,01,84,200069193
Juilley,50259,688,50,28,200069425
Bréhain-la-Ville,54096,372,54,44,200070290
Isserteaux,63177,415,63,84,200067627
Moncetz-l'Abbaye,51373,96,51,44,200042992
Marçay,37144,506,37,24,200043081
Générac,33184,555,33,75,200023794
