insee,nom,département,région,zpc,interregion,groupe SER,GRECO,Rad 13,bassin populicole,population,,stock/flux?,occupation du sol (niveau 1),occupation du sol (niveau 2),surface (ha),linéaire haies (km),réservoir,usage produit bois,approche calculation produits bois,récolte locale (m3/an),ratio récolte France,ratio population France,stock de réf (tC/ha),stock de réf (tC/km),stock (tC),,occupation du sol initiale (niveau 1),occupation du sol initiale (niveau 2),occupation du sol finale (niveau 1),occupation du sol finale (niveau 2),surface moyenne convertie (ha/an),Accroissement biologique unitaire (m3 BFT/ha/an),Mortalité unitaire (m3 BFT/ha/an),Prélèvements de bois unitaire (m3 BFT/ha/an),Bilan total unitaire (m3 BFT/ha/an),Facteur de conversion (tC/m3 BFT),flux unitaire (tCO2e/ha/an),flux (tCO2e/an)
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt conifère,299,,sol,,,,,,79,,23621,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt conifère,299,,biomasse vivante,,,,,,91,,27209,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt conifère,299,,biomasse morte,,,,,,6,,1794,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt conifère,299,,litière,,,,,,9,,2691,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt peupleraie,0,,sol,,,,,,79,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt peupleraie,0,,biomasse vivante,,,,,,59,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt peupleraie,0,,biomasse morte,,,,,,4,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,forêt peupleraie,0,,litière,,,,,,9,,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,cultures,cultures,,29,biomasse haies,,,,,,,101,2929,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,prairies,,,70,biomasse haies,,,,,,,101,7070,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,zones humides,zones humides,,0,biomasse haies,,,,,,,101,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,vergers,vergers,,0,biomasse haies,,,,,,,101,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,vignes,vignes,,0,biomasse haies,,,,,,,101,0,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,sols artificiels,,,3,biomasse haies,,,,,,,101,303,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,forêts,,,20,biomasse haies,,,,,,,101,2020,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,,,,,produits bois,BO,production,4003,0.021,,,,7015,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,,,,,produits bois,BI,production,3193,0.03,,,,17815,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,,,,,produits bois,BO,consommation,,,9.09801996758772E-06,,,307,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,stock,,,,,produits bois,BI,consommation,,,9.09801996758772E-06,,,532,,,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,sol,,,,,,,,,,forêts,forêt conifère,cultures,cultures,0,,,,,,-50,0
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,biomasse,,,,,,,,,,forêts,forêt conifère,cultures,cultures,0,,,,,,-353.9,0
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,litière,,,,,,,,,,forêts,forêt conifère,cultures,cultures,0,,,,,,-33,0
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,sol et litière?,,,,,,,,,,forêts,forêt conifère,cultures,cultures,0,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,sol,,,,,,,,,,vignes,vignes,vergers,vergers,0,,,,,,0,0
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,biomasse,,,,,,,,,,vignes,vignes,vergers,vergers,0,,,,,,58,0
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,forêts,forêt mixte,626,,biomasse,,,,,,,,,,…,,,,,,,,,,,
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,forêts,forêt feuillu,450,,biomasse,,,,,,,,,,,,,,,10.18,0.73,5.2,4.25,0.4,6.5,4065
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,forêts,forêt conifère,299,,biomasse,,,,,,,,,,,,,,,6.34,1.02,2.52,2.8,0.52,5.2,2327
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,forêts,forêt peupleraie,0,,biomasse,,,,,,,,,,,,,,,14.52,0.8,14.11,-0.39,0.31,-0.2,-55
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,…,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,produits bois,BO,production,4003,0.021,,,,,,,,,,,,,,,,,191
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,produits bois,BI,production,3193,0.03,,,,,,,,,,,,,,,,,135
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,produits bois,BO,consommation,,,9.09801996758772E-06,,,,,,,,,,,,,,,,8
19201,Saint-Exupéry-les-Roches,19,75,2_3,SUD-OUEST,G1,G,NAQ,Sud,585,,flux,,,,,produits bois,BI,consommation,,,9.09801996758772E-06,,,,,,,,,,,,,,,,4
