insee_com,siren_epci,usage_2021,surfaces_ha
01015,200040350,F_m,76.75
01015,200040350,F_p,10.25
01015,200040350,H_a,14.50
01015,200040350,H_n,4.50
01015,200040350,P_a,8.25
01015,200040350,P_h,253.50
01015,200040350,P_m,34.00
01016,200071371,A_a,3.03448000
01016,200071371,A_h,44.68968000
01016,200071371,A_i,32.27584000
01016,200071371,C,390.50
01016,200071371,C_t,128.50
01016,200071371,F_f,355.25
01016,200071371,F_m,11.25
01016,200071371,F_p,17.50
01016,200071371,H_a,52.00
01016,200071371,P_a,3.75
01016,200071371,P_h,719.25
01017,240100883,A_a,7.44941275
01017,240100883,A_h,21.10671550
01017,240100883,A_i,26.69381650
01017,240100883,C,27.25
01017,240100883,C_t,5.50
01017,240100883,C_vi,1.75
01017,240100883,F_c,14.00
01017,240100883,F_f,517.50
01017,240100883,F_m,23.00
01017,240100883,H_a,6.25
01017,240100883,P_a,3.00
01017,240100883,P_h,124.00
01017,240100883,P_m,4.50
01019,200040350,A_a,0.00000000
01019,200040350,A_h,1.79487000
01019,200040350,A_i,5.20513000
01019,200040350,C,9.75
01019,200040350,C_t,4.75
01019,200040350,F_c,46.25
01019,200040350,F_f,416.50
01019,200040350,F_m,55.50
01019,200040350,P_a,5.25
01019,200040350,P_h,151.25
01019,200040350,P_m,0.25
01021,200042497,A_a,12.09110500
01021,200042497,A_h,42.04427000
01021,200042497,A_i,48.36462500
01021,200042497,C,410.50
01021,200042497,C_t,10.75
01021,200042497,C_ve,0.250
01021,200042497,C_vi,1.000
01021,200042497,F_f,17.00
01021,200042497,F_m,5.25
01021,200042497,H_a,1.25
01021,200042497,P_h,5.25
01022,200040350,A_a,8.93613000
01022,200040350,A_h,50.14180500
01022,200040350,A_i,45.92196000
01022,200040350,C,62.25
01022,200040350,C_t,17.75
01022,200040350,F_f,70.50
01022,200040350,F_m,55.25
01022,200040350,F_p,2.25
01022,200040350,H_a,3.75
01022,200040350,P_a,0.75
01022,200040350,P_h,9.25
01022,200040350,P_m,5.75
01023,200071371,A_a,0.88461450
01023,200071371,A_h,6.41345800
01023,200071371,A_i,4.20192750
01023,200071371,C,197.75
01023,200071371,C_t,29.25
01023,200071371,F_f,8.50
01023,200071371,F_p,1.50
01023,200071371,H_a,46.75
01023,200071371,P_h,172.75
01024,200071751,A_a,21.00742800
01024,200071751,A_h,165.83488650
01024,200071751,A_i,137.90768550
01024,200071751,C,689.25
01024,200071751,C_t,165.50
01024,200071751,F_c,6.00
01024,200071751,F_f,222.75
01024,200071751,F_m,11.75
01024,200071751,F_p,9.50
01024,200071751,H_a,21.75
01024,200071751,O,2.75
01024,200071751,P_a,1.50
01024,200071751,P_h,438.00
01025,200071371,A_a,22.48603700
01025,200071371,A_h,312.99074100
01025,200071371,A_i,186.02270050
01025,200071371,C,3092.75
01025,200071371,C_t,467.25
01025,200071371,C_ve,5.50
01025,200071371,F_f,608.75
01025,200071371,F_m,70.50
01025,200071371,F_p,53.00
01025,200071371,H_a,31.00
01025,200071371,P_a,4.00
01025,200071371,P_h,847.25
01025,200071371,P_m,2.75
01026,200071371,A_a,2.43589500
01026,200071371,A_h,30.69233400
01026,200071371,A_i,23.87177100
01026,200071371,C,9.25
01026,200071371,C_t,5.75
01026,200071371,H_a,0.75
01026,200071371,P_h,15.00
01027,240100610,A_a,17.28932000
01027,240100610,A_h,242.60163000
01027,240100610,A_i,105.10905000
01027,240100610,C,752.00
01027,240100610,C_t,29.50
01027,240100610,F_c,3.25
01027,240100610,F_f,219.75
01027,240100610,F_m,24.75
01027,240100610,F_p,9.50
01027,240100610,H_a,56.50
01027,240100610,H_n,8.25
01027,240100610,O,3.50
01027,240100610,P_a,1.25
01027,240100610,P_h,325.50
01027,240100610,P_m,2.00
01028,200069193,A_a,5.21867500
01028,200069193,A_h,31.08496875
01028,200069193,A_i,32.44635625
01028,200069193,C,569.25
01028,200069193,C_t,90.25
01028,200069193,C_ve,0.300
01028,200069193,C_vi,1.200
01028,200069193,F_c,0.25
01028,200069193,F_f,92.00
01028,200069193,F_m,3.25
01028,200069193,H_a,2.50
