dep,C_aerien_km,C_tot_km
2,76.4214953725363,97.8195561667002
3,79.7246697920011,102.047587974405
12,78.3061285993817,100.231840447516
14,77.3623542998326,99.0238238903645
16,87.6999731675604,112.255975389603
18,79.4181374078612,101.655226982624
21,72.4930697263882,92.7911376003425
22,80.163371724721,102.609113625017
23,91.8786212686296,117.604625351095
24,86.9011321819137,111.233420031351
27,79.6411108800383,101.940646944861
29,69.2606517649255,88.6536291813257
32,79.8231730358449,102.173668767656
35,83.0731438105101,106.333619247482
36,81.3757305927866,104.160927125585
44,70.4323943517632,90.1534773833245
46,80.6685470724251,103.255711587173
49,69.0889368538875,88.4338321661265
50,68.8675185262469,88.1504237135961
53,78.6153797147685,100.627679279017
56,90.7522861987358,116.162914384827
58,79.3150252404096,101.523232307724
59,69.4096672480518,88.8443555833242
61,81.4923929665172,104.310271236502
71,80.5561816127621,103.111933217613
72,78.0758372535329,99.9370783192057
76,91.6125344239663,117.264012216278
79,68.6356816687065,87.8536667282572
85,68.7684706159994,88.023646654095
86,74.3708157208667,95.1946243482333
87,100.300073739147,128.384090966123
