siren,area
France,445461.8297
1,0
2,0
3,0
4,0
200000172,61.68869213
200000438,792.1676174
200000545,15.44130565
200000628,79.76377536
200000800,1.26474678
200000925,0.007514201
200000933,939.5883638
200004802,32.23177698
200005932,228.0540525
200005957,209.7606055
200006682,0.013433933
200006682,0.013433933
200006716,54.53062161
200006930,1.85893563
200006971,3.39132111
200007052,1109.260569
200007177,387.2664362
200010650,0
200010700,1.206594562
200011773,62.31476173
200011781,533.8211749
200012060,0.240229056
200013050,57.08572163
200015162,0
200016905,0
200017341,1.99649842
200017846,0.088799722
200018083,480.0291314
200018166,302.1480203
200018406,1.435642441
200018521,1036.89059
200022986,5.87166E-05
200023075,0
200023125,0
200023240,0.07493176
200023299,19.13588389
200023307,380.7181598
200023372,11.05408959
200023414,1.952106354
200023620,367.7743559
200023620,367.7743559
200023737,0.051033247
200023778,955.3494493
200023794,48.30852682
200023919,0.346058364
200026573,0.047935583
200027027,561.0851658
200027076,446.0750813
200027100,19.81909362
200027183,0
200027217,0
200027308,552.0152251
200029734,4.13672E-05
200029999,0
200030195,0
200030385,0.005299682
200030435,287.8565397
200030435,287.8565397
200030526,82.31603011
200030526,82.31603011
200030633,480.6798513
200030658,275.5186355
200030674,609.0854308
200032514,204.5681409
200033025,139.6642284
200033090,0.028487963
200033116,81.44169289
200033173,0
200033181,3.02409E-05
200033207,156.975377
200033298,3113.956685
200033579,109.3566663
200033827,0
200033868,65.71639438
200034023,294.9887039
200034023,294.9887039
200034031,522.7712319
200034049,504.8090107
200034056,491.0847809
200034064,320.9704702
200034098,77.32123157
200034130,0.000247765
200034197,0.339855597
200034205,0
200034270,71.63724446
200034379,0
200034411,0
200034601,2.484215858
200034635,54.42563994
200034692,0.695564697
200034700,5.270394354
200034700,5.270394354
200034718,74.47265564
200034726,628.0315346
200034825,0.023207609
200034833,2.045606559
200034874,163.3432165
200034882,60.13005113
200034957,0.08091107
200035087,209.3314874
200035103,795.6580661
200035111,1168.336194
200035129,0.077779621
200035129,0.077779621
200035137,1584.986738
200035202,640.6367056
200035319,7.325415675
200035327,0.030152657
200035442,163.1101242
200035459,488.3869649
200035533,64.16454378
200035541,156.5189477
200035632,336.2979017
200035665,73.79790794
200035707,0.002601654
200035715,0.219121229
200035723,95.93175214
200035723,95.93175214
200035731,1363.230531
200035756,562.0034534
200035764,36.35487249
200035772,209.4476787
200035814,2357.32235
200035848,285.9956379
200035855,0.140209398
200035863,0
200035970,42.33731534
200036069,1104.716566
200036077,17.05054168
200036135,709.2733487
200036150,1.241394261
200036465,45.94635967
200036473,0.040205655
200036499,0
200036523,1074.282471
200036549,0.028475561
200036572,212.8508919
200037059,83.01533479
200037133,0.392723873
200038958,0
200038990,1144.518339
200039022,2529.446728
200039055,0.036496043
200039063,0.051368219
200039204,937.1678332
200039519,0.157804116
200039642,231.9011465
200039709,299.3690515
200039758,816.2030351
200039808,0.000203464
200039824,0
200039832,2.26071E-05
200039857,0.159134573
200039865,154.6311959
200039907,164.7423777
200039915,0.009175894
200039931,0
200039949,65.17229316
200040038,9.77592E-05
200040095,0.001063886
200040111,181.1013203
200040111,181.1013203
200040137,120.0933112
200040178,47.39167686
200040202,77.67616824
200040210,70.71198079
200040244,6220.931067
200040251,0.175880164
200040277,9.865666799
200040277,9.865666799
200040293,0.124851938
200040350,1.392312367
200040384,0.187750157
200040392,0.000223859
200040400,0.006123689
200040418,2.09439852
200040426,0
200040442,171.4963938
200040459,166.5445624
200040475,898.8003479
200040491,196.2780618
200040491,196.2780618
200040509,48.42002607
200040558,561.0214845
200040566,724.732129
200040574,133.9848726
200040590,105.1610687
200040590,105.1610687
200040624,121.5294162
200040624,121.5294162
200040657,321.3112165
200040681,144.3109794
200040681,144.3109794
200040715,209.5774862
200040764,0
200040772,0.481501643
200040798,29.68047098
200040814,0
200040830,0.000112525
200040889,2.107671159
200040905,702.251288
200040947,515.7951793
200040954,288.3279959
200041010,99.00174021
200041051,0.000223859
200041150,0
200041168,0
200041283,62.08153164
200041317,1880.836397
200041325,71.6759772
200041333,4151.769164
200041366,0.149647532
200041416,367.5112931
200041440,0.050594662
200041465,2.858458562
200041499,5.843167925
200041515,147.7204837
200041523,0.400461556
200041556,6.350910433
200041572,0
200041614,1.63279872
200041622,0
200041630,0
200041689,2.629587559
200041721,1.370913305
200041762,0.022938355
200041853,0.025229973
200041861,0.06103321
200041879,0.060450692
200041887,0.01657398
200041887,0.01657398
200041960,158.4070356
200041994,888.2914947
200042000,98.2289135
200042174,1381.776536
200042182,2233.182016
200042190,223.4617472
200042372,661.0743323
200042414,0.04070419
200042463,1.301674588
200042497,0.353096749
200042604,1296.279897
200042620,52.7573699
200042646,1.042153263
200042653,0
200042703,271.0218774
200042729,2503.638314
200042901,108.9594242
200042935,0.000302488
200042943,0
200042992,94.14860293
200043016,2.715744788
200043065,0.044815771
200043081,0.696674151
200043123,881.3004845
200043156,0.055367716
200043172,4.11784E-05
200043263,1322.880957
200043321,822.3936679
200043354,1708.096837
200043396,596.1587473
200043404,590.568344
200043438,64.84064671
200043495,0
200043602,0
200043628,708.7284188
200043693,112.2504143
200043776,0
200043974,63.51745293
200043982,120.0550302
200043990,1119.418526
200044014,0.108253653
200044030,657.721891
200044048,94.01544896
200044253,207.7874519
200044394,168.8592741
200044469,0
200044618,107.0502895
200046977,173.6193705
200048551,1893.946133
200049187,105.7823993
200049211,0
200049484,2729.543729
200054781,1.158228162
200054781,1.158228162
200054781,1.158228162
200054781,1.158228162
200054781,1.158228162
200054781,1.158228162
200054807,1182.437499
200054807,1182.437499
200054807,1182.437499
200055481,0.11929187
200055655,20.23062223
200055655,20.23062223
200055887,2564.01839
200056232,0
200056380,5.223094506
200057859,6.70924E-06
200057958,0.002317923
200058360,0.002662632
200058477,0
200058485,5.364223719
200058519,0.27819927
200058519,0.27819927
200058782,0
200059228,0
200059228,0
200059392,725.9585658
200059400,0.002553715
200059889,0.256153824
200060010,4133.614676
200065563,732.2556642
200065589,299.6777581
200065597,376.3993347
200065647,0
200065787,294.8777292
200065886,1476.186797
200065894,1060.874273
200065928,1960.715092
200066009,110.4686572
200066017,699.5113961
200066025,43.95676152
200066033,118.3404686
200066041,222.6775913
200066058,119.365717
200066108,262.6393556
200066116,287.690429
200066124,1116.282091
200066132,252.2704784
200066140,294.7128566
200066157,247.7844343
200066165,122.2564249
200066173,226.1457418
200066223,0
200066231,3.0113E-05
200066280,56.93947498
200066322,0.105596904
200066330,903.3870579
200066348,1.394183954
200066355,0
200066363,0
200066371,1.061128658
200066389,4955.234756
200066405,369.6673767
200066405,369.6673767
200066413,848.518008
200066462,322.9691381
200066462,322.9691381
200066512,0.447583984
200066520,0.000433965
200066553,806.3228484
200066553,806.3228484
200066561,796.800531
200066587,577.1237459
200066603,0
200066637,2002.896965
200066645,0.005098295
200066652,0.046375346
200066660,3332.116574
200066678,1744.763981
200066710,898.5225144
200066728,196.4970588
200066744,6.77358658
200066744,6.77358658
200066751,4.129433456
200066769,0.004624114
200066777,1253.257632
200066785,1173.285845
200066793,411.0985222
200066801,2434.689899
200066819,0.00059614
200066827,509.6259193
200066827,509.6259193
200066835,113.5658314
200066850,104.8573831
200066868,549.333523
200066876,108.2893672
200066884,1.458880802
200066892,127.2392185
200066918,0
200066926,994.4977278
200066975,20.12454408
200067023,3892.593468
200067031,2961.335483
200067049,0
200067064,361.1464999
200067072,227.3895721
200067080,163.7071839
200067106,2699.787146
200067114,132.4525918
200067122,0.005126113
200067130,2101.494248
200067130,2101.494248
200067155,562.367958
200067163,756.6999925
200067171,2174.158224
200067189,0.091792179
200067197,1328.867906
200067205,8602.397132
200067213,197.2125005
200067221,1492.372038
200067239,747.4297778
200067247,1232.009536
200067254,419.5001057
200067262,762.5100706
200067288,627.4706632
200067296,808.8104081
200067304,140.4524747
200067320,0
200067320,0
200067346,1554.491109
200067361,312.8140446
200067361,312.8140446
200067379,116.6626739
200067429,443.2513101
200067437,0.016770213
200067445,0.55030523
200067452,0
200067460,3236.797532
200067478,1215.419963
200067486,281.2885193
200067502,250.7763065
200067510,8.165411684
200067544,4.080536214
200067551,201.1223039
200067593,7.694409917
200067627,215.0709542
200067635,607.6915831
200067643,162.6684304
200067650,192.1871671
200067668,148.8557186
200067668,148.8557186
200067676,300.9318957
200067684,71.26981678
200067692,1193.91793
200067700,917.2450835
200067742,0
200067742,0
200067759,0
200067767,81.98815252
200067783,102.4255428
200067791,0
200067817,462.7346414
200067825,0
200067825,0
200067841,376.658969
200067866,539.6847605
200067874,159.0407606
200067882,2240.74558
200067890,1932.79441
200067908,1065.128184
200067916,602.5365637
200067924,113.6222248
200067932,1342.829777
200067940,4.789E-05
200067957,168.0993371
200067965,33.05594138
200067973,82.20674947
200067981,3052.173274
200067999,302.2017471
200068005,158.6277671
200068047,7.945396441
200068070,0.000307229
200068088,794.2914343
200068088,794.2914343
200068096,0.857740043
200068104,76.62190805
200068112,74.87461261
200068120,1359.07154
200068146,506.5239121
200068229,213.5724404
200068278,693.3113902
200068294,0
200068369,306.9848302
200068377,94.26540932
200068435,1056.952001
200068443,1391.558249
200068450,2178.035775
200068468,1332.685359
200068484,1453.925968
200068500,128.7837417
200068534,0.000794792
200068542,644.1579531
200068559,300.2973299
200068559,300.2973299
200068567,362.6760964
200068625,0.203822587
200068641,2.344672128
200068658,278.1248165
200068666,291.8679471
200068666,291.8679471
200068674,200.0084678
200068682,239.1288188
200068757,670.8081377
200068765,12.09079203
200068765,12.09079203
200068765,12.09079203
200068773,431.4502963
200068781,436.093854
200068799,2897.856583
200068807,0.019342562
200068815,1.78619792
200068831,1522.514739
200068856,1057.966464
200068864,56.56412927
200068872,1507.480978
200068880,733.293839
200068914,0.315527627
200068922,385.4330177
200068930,374.7577688
200068948,612.3701811
200068955,620.6948829
200068963,241.0590681
200068989,1938.619351
200068997,95.83400681
200069003,174.1459296
200069029,423.214237
200069037,745.1081262
200069052,0.286086321
200069060,0.152846177
200069086,969.9116291
200069094,0.074299639
200069102,0.622877663
200069110,260.7526171
200069128,0.145051168
200069128,0.145051168
200069136,0.041430941
200069144,3.348581729
200069151,0.857849505
200069169,1191.346261
200069177,354.0163246
200069185,2.260713136
200069193,0
200069227,1224.017396
200069235,782.5691123
200069250,177.0423774
200069268,3.790904534
200069300,538.3109549
200069383,1721.032479
200069383,1721.032479
200069391,2153.947474
