siren,SURFACE,VOLUME (m3∙ha-1),STOCK_CARBONE (tC),carbonDensity,PRODUCTION (m3∙ha-1∙an-1),PRELEVEMENT (m3∙ha-1∙an-1),MORTALITE (m3∙ha-1∙an-1),TX_PRELEV,BILAN_M3 (m3∙ha-1∙an-1),BILAN_CARB (tC∙an-1),BILAN_CARB (tC∙ha-1∙an-1),BILAN_CO2 (tCO2∙an-1),BILAN_CO2_HA (tCO2∙ha-1∙an-1),Fexp (VOL -> CARB),
200018406,277.1,160.9455517,14488.40644,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,531.2735787,1.917263005,-1948.003122,-7.029964351,0.32486664,
200018521,59.6,160.9455517,3116.236101,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,114.2688751,1.917263005,-418.9858753,-7.029964351,0.32486664,
200022986,3,174.4933166,155.3905304,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,3.061689276,1.020563092,-11.22619401,-3.742064671,0.296841418,
200023075,1.6,168.5083947,86.6775055,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,1.685857732,1.053661082,-6.18147835,-3.863423969,0.321488084,
200023125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200023240,21.7,169.9933561,1156.199994,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,21.88339594,1.008451426,-80.23911844,-3.697655228,0.313430518,
200023299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200023307,343.2,174.4933166,17776.67668,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,350.2572532,1.020563092,-1284.276595,-3.742064671,0.296841418,
200023372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200023414,81.7,169.9933561,4353.066336,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,82.39048148,1.008451426,-302.0984321,-3.697655228,0.313430518,
200023620,36.9,174.4933166,1911.303524,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,37.65877809,1.020563092,-138.0821863,-3.742064671,0.296841418,
200023620,36.9,174.4933166,1911.303524,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,37.65877809,1.020563092,-138.0821863,-3.742064671,0.296841418,
200023737,56.4,174.4933166,2921.341971,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,57.55975839,1.020563092,-211.0524474,-3.742064671,0.296841418,
200023778,107.7,160.9455517,5631.185035,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,206.4892256,1.917263005,-757.1271606,-7.029964351,0.32486664,
200023794,96.5,174.4933166,4998.395394,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,98.48433838,1.020563092,-361.1092407,-3.742064671,0.296841418,
200023919,8.6,169.9933561,458.217509,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,8.672682261,1.008451426,-31.79983496,-3.697655228,0.313430518,
200026573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200027027,17.4,160.9455517,909.7736269,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,33.36037629,1.917263005,-122.3213797,-7.029964351,0.32486664,
200027076,95.5,160.9455517,4993.29778,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,183.098617,1.917263005,-671.3615956,-7.029964351,0.32486664,
200027100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200027183,5.4,174.4933166,279.7029547,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,5.511040697,1.020563092,-20.20714922,-3.742064671,0.296841418,
200027217,102.6,174.4933166,5314.356139,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,104.7097732,1.020563092,-383.9358352,-3.742064671,0.296841418,
200027308,38.4,168.5083947,2080.260132,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,40.46058557,1.053661082,-148.3554804,-3.863423969,0.321488084,
200029734,389.5,174.4933166,20174.87053,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,397.5093243,1.020563092,-1457.534189,-3.742064671,0.296841418,
200029999,1.4,174.4933166,72.51558085,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,1.428788329,1.020563092,-5.238890539,-3.742064671,0.296841418,
200030195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200030385,828.3,160.9455517,43308.36179,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,1588.068947,1.917263005,-5822.919472,-7.029964351,0.32486664,
200030435,167.4,174.4933166,8670.791596,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,170.8422616,1.020563092,-626.4216259,-3.742064671,0.296841418,
200030435,167.4,174.4933166,8670.791596,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,170.8422616,1.020563092,-626.4216259,-3.742064671,0.296841418,
200030526,82,168.5083947,4442.222157,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,86.40020876,1.053661082,-316.8007654,-3.863423969,0.321488084,
200030526,82,168.5083947,4442.222157,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,86.40020876,1.053661082,-316.8007654,-3.863423969,0.321488084,
200030633,304.8,169.9933561,16240.08102,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,307.3759946,1.008451426,-1127.045313,-3.697655228,0.313430518,
200030658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200030674,2495.3,174.4933166,129248.6635,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,2546.611083,1.020563092,-9337.573973,-3.742064671,0.296841418,
200032514,170.5,160.9455517,8914.735827,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,326.8933423,1.917263005,-1198.608922,-7.029964351,0.32486664,
200033025,53.5,168.5083947,2898.27909,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,56.37086791,1.053661082,-206.6931823,-3.863423969,0.321488084,
200033090,121.3,169.9933561,6462.998121,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,122.3251579,1.008451426,-448.5255791,-3.697655228,0.313430518,
200033116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200033173,17.5,169.9933561,932.4193498,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,17.64789995,1.008451426,-64.70896649,-3.697655228,0.313430518,
200033181,147.4,160.9455517,7706.932908,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,282.6045669,1.917263005,-1036.216745,-7.029964351,0.32486664,
200033207,264.1,160.9455517,13808.69051,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,506.3491596,1.917263005,-1856.613585,-7.029964351,0.32486664,
200033298,376.7,160.9455517,19696.07616,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,722.232974,1.917263005,-2648.187571,-7.029964351,0.32486664,
200033579,87.1,169.9933561,4640.784307,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,87.83611918,1.008451426,-322.0657703,-3.697655228,0.313430518,
200033827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200033868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200034023,14.3,174.4933166,740.6948615,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,14.59405222,1.020563092,-53.51152479,-3.742064671,0.296841418,
200034023,14.3,174.4933166,740.6948615,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,14.59405222,1.020563092,-53.51152479,-3.742064671,0.296841418,
200034031,6,174.4933166,310.7810608,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,6.123378552,1.020563092,-22.45238802,-3.742064671,0.296841418,
200034049,2.9,174.4933166,150.210846,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,2.959632967,1.020563092,-10.85198754,-3.742064671,0.296841418,
200034056,38,174.4933166,1968.280052,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,38.7813975,1.020563092,-142.1984575,-3.742064671,0.296841418,
200034064,55.5,174.4933166,2874.724812,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,56.64125161,1.020563092,-207.6845892,-3.742064671,0.296841418,
200034098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200034130,7.8,169.9933561,415.5926245,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,7.865921121,1.008451426,-28.84171078,-3.697655228,0.313430518,
200034197,254,174.4933166,13156.39824,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,259.2230254,1.020563092,-950.4844263,-3.742064671,0.296841418,
200034205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200034270,15.4,168.5083947,834.2709904,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,16.22638067,1.053661082,-59.49672912,-3.863423969,0.321488084,
200034379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200034411,2.8,174.4933166,145.0311617,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,2.857576658,1.020563092,-10.47778108,-3.742064671,0.296841418,
200034601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200034635,3.4,168.5083947,184.1896992,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,3.58244768,1.053661082,-13.13564149,-3.863423969,0.321488084,
200034692,4.8,174.4933166,248.6248486,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,4.898702842,1.020563092,-17.96191042,-3.742064671,0.296841418,
200034700,19.5,174.4933166,1010.038448,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,19.90098029,1.020563092,-72.97026108,-3.742064671,0.296841418,
200034700,19.5,174.4933166,1010.038448,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,19.90098029,1.020563092,-72.97026108,-3.742064671,0.296841418,
200034718,1387.8,168.5083947,75181.90133,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,1462.27085,1.053661082,-5361.659784,-3.863423969,0.321488084,
200034726,72.9,174.4933166,3775.989888,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,74.39904941,1.020563092,-272.7965145,-3.742064671,0.296841418,
200034825,7.5,174.4933166,388.476326,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,7.65422319,1.020563092,-28.06548503,-3.742064671,0.296841418,
200034833,223,174.4933166,11550.69609,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,227.5855695,1.020563092,-834.4804216,-3.742064671,0.296841418,
200034874,40.6,168.5083947,2199.441702,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,42.77863995,1.053661082,-156.8550131,-3.863423969,0.321488084,
200034882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200034957,52.3,174.4933166,2708.974913,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,53.37544971,1.020563092,-195.7099823,-3.742064671,0.296841418,
200035087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200035103,148.7,169.9933561,7922.900418,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,149.956727,1.008451426,-549.8413324,-3.697655228,0.313430518,
200035111,100.1,169.9933561,5333.438681,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,100.9459877,1.008451426,-370.1352883,-3.697655228,0.313430518,
200035129,64.7,174.4933166,3351.255772,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,66.03043205,1.020563092,-242.1115842,-3.742064671,0.296841418,
200035129,64.7,174.4933166,3351.255772,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,66.03043205,1.020563092,-242.1115842,-3.742064671,0.296841418,
200035137,63.2,160.9455517,3304.465127,52.28584062,12.85827091,6.528727444,0.410754629,0.524500414,5.918788838,121.1710219,1.917263005,-444.293747,-7.029964351,0.32486664,
200035202,12.8,174.4933166,662.9995963,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,13.06320758,1.020563092,-47.89842778,-3.742064671,0.296841418,
200035319,4.4,174.4933166,227.9061112,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,4.490477605,1.020563092,-16.46508455,-3.742064671,0.296841418,
200035327,116,174.4933166,6008.433842,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,118.3853187,1.020563092,-434.0795018,-3.742064671,0.296841418,
200035442,424.7,169.9933561,22628.48559,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,428.2893205,1.008451426,-1570.394175,-3.697655228,0.313430518,
200035459,593.4,174.4933166,30736.24691,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,605.6021388,1.020563092,-2220.541176,-3.742064671,0.296841418,
200035533,81.2,174.4933166,4205.903689,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,82.86972307,1.020563092,-303.8556513,-3.742064671,0.296841418,
200035541,372.4,174.4933166,19289.14451,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,380.0576955,1.020563092,-1393.544883,-3.742064671,0.296841418,
200035632,107,174.4933166,5542.262251,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,109.2002508,1.020563092,-400.4009198,-3.742064671,0.296841418,
200035665,86.7,166.8562238,4619.471864,52.2978327,11.49708661,8.122022625,0.792897061,0.744767757,2.58216692,87.43273861,0.989841019,-320.5867082,-3.629417069,0.307646333,
200035707,26.7,174.4933166,1382.97572,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,27.24903456,1.020563092,-99.91312671,-3.742064671,0.296841418,
200035715,52.2,174.4933166,2703.795229,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,53.2733934,1.020563092,-195.3357758,-3.742064671,0.296841418,
200035723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200035723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200035731,30.7,174.4933166,1590.163094,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,31.33128692,1.020563092,-114.8813854,-3.742064671,0.296841418,
200035756,41.9,174.4933166,2170.287741,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,42.76159355,1.020563092,-156.7925097,-3.742064671,0.296841418,
200035764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200035772,55.3,168.5083947,2995.791284,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,58.26745786,1.053661082,-213.6473455,-3.863423969,0.321488084,
200035814,177.8,169.9933561,9473.380594,53.2811057,11.71324805,8.274728103,0.807804644,0.758770441,2.630715299,179.3026635,1.008451426,-657.4430995,-3.697655228,0.313430518,
