code,Commune,Nom unique,nom,nature,nombreCommunes,populationTotale
200035665,,,CA Seine Eure,CA,40,72894
200035707,,,CC Piège Lauragais Malepère,CC,38,16299
200035715,,,CA Carcassonne Agglo,CA,82,114392
200035723,,,CC Ventoux Sud,CC,11,9574
200035731,,,CA Roannais Agglomération,CA,40,103721
200035756,,,CC Astarac Arros en Gascogne,CC,37,7624
200035764,,,CC de la Beauce Loirétaine,CC,23,16817
200035772,,,CC du Pays du Saintois,CC,55,14713
200035814,,,CA Flers Agglo,CA,42,56264
200035848,,,CC du Châtillonnais en Berry,CC,10,6415
200035855,,,CC Castelnaudary Lauragais Audois,CC,43,26910
200035863,,,"CC Région Lézignanaise, Corbières et Minervois",CC,54,33528
200035970,,,CC Vexin Centre,CC,34,25228
200036069,,,CC du Pays de Mortagne-au-Perche,CC,33,14672
200036077,,,CC du Golfe de Saint-Tropez,CC,12,58571
200036135,,,CC Coeur de France,CC,19,19442
200036150,,,CC des Hauts du Val de Saône,CC,48,8978
200036465,,,CC de Thann-Cernay,CC,16,38632
200036473,,,CA de Saintes,CA,36,62095
200036499,,,CC de Marana-Golo,CC,10,23520
200036523,,,CC des Bastides en Haut-Agenais Périgord,CC,43,17544
200036549,,,CC Val de Gray,CC,48,21428
200036572,,,CC Porte d'Aquitaine en Pays de Serres,CC,13,5412
200037059,,,CC de la Haute Somme (Combles - Péronne - Roisel),CC,60,28736
200037133,,,CC du Provinois,CC,40,35723
200038958,,,CC de la Pieve de l'Ornano,CC,28,12247
200038990,,,CC de Saint-Méen Montauban,CC,18,26907
200039022,,,CA Vitré Communauté,CA,46,81931
200039055,,,CC Ouche et Montagne,CC,32,10918
200039063,,,"CC Forêts, Seine et Suzon",CC,25,6941
200039204,,,CC de Lacq-Orthez,CC,61,55060
200039519,,,CC du Quercy Blanc,CC,15,7981
200039642,,,CC Le Tonnerrois en Bourgogne,CC,52,17295
200039709,,,CC du Serein,CC,39,7822
200039758,,,"CC Avallon, Vézelay, Morvan",CC,48,19967
200039808,,,CC des Gorges de l'Ardèche,CC,20,15225
200039824,,,CC Ardèche des Sources et Volcans,CC,16,9934
200039832,,,CC Pays des Vans en Cévennes,CC,15,9339
200039857,,,CA du Pays de Grasse,CA,23,104017
200039865,,,Metz Métropole,ME,44,224904
200039907,,,CC du Sud Messin,CC,34,16411
200039915,,,CA Cannes Pays de Lérins,CA,5,160173
200039931,,,CC Alpes d'Azur,CC,34,9838
200039949,,,CC Rives de Moselle,CC,20,51955
200040038,,,CC Saône Doubs Bresse,CC,27,12393
200040095,,,CC Isle Vern Salembre en Périgord,CC,16,19423
200040111,,,CC Coeur de Chartreuse,CC,17,17290
200040137,,,CC des Lacs de Champagne,CC,43,9923
200040178,,,CC de l'Outre-Forêt,CC,13,16325
200040202,,,CC Provence Verdon,CC,15,22384
200040210,,,CC Lacs et Gorges du Verdon,CC,16,9039
200040244,,,CA du Bocage Bressuirais,CA,38,75644
200040251,,,CC Bassée-Montois,CC,42,24096
200040277,,,CA du Pays de Dreux,CA,81,117052
200040293,,,CC du Clunisois,CC,42,14475
200040350,,,CC Bugey Sud,CC,50,34637
200040384,,,CC Isle Double Landais,CC,9,12074
200040392,,,CA Le Grand Périgueux,CA,43,107362
200040400,,,CC du Pays Ribéracois,CC,44,20376
200040418,,,CC du Pays de Serres en Quercy,CC,22,8812
200040426,,,CC du Val de l'Oise,CC,32,16533
200040442,,,CA Luberon Monts de Vaucluse,CA,16,56256
200040459,,,CA Montélimar Agglomération,CA,26,66227
200040475,,,CC Loué - Brûlon - Noyen,CC,29,19007
200040491,,,CC Porte de Drômardèche,CC,35,47934
200040509,,,CC du Crestois et de Pays de Saillans Coeur de Drôme,CC,15,15453
200040558,,,CC Écueillé-Valençay,CC,19,11757
200040566,,,CA de l'Ouest Rhodanien,CA,34,52013
200040574,,,CC Beaujolais Pierres Dorées,CC,32,51901
200040590,,,CA Villefranche Beaujolais Saône,CA,19,74422
