Département,siren,Commune,Nom unique,EPCI_nom (==> données : tC.ha-1),nature,nb_com,poptot,cultures,prairies,forêts,zones humides,vergers,vignes,sols artificialisés,sols artificiels imperméabilisés,sols artificiels enherbés,sols artificiels arborés et buissonants,f_cult_for_%zpc,f_for_cult_%zpc,f_cult_prai_%zpc,f_prai_cult_%zpc,f_prai_for_%zpc,f_for_prai_%zpc,f_cult_zh_%zpc,f_zh_cult_%zpc,f_prai_zh_%zpc,f_zh_prai_%zpc,f_for_zh_%zpc,f_zh_for_%zpc,f_prai_verg_%zpc,f_verg_prai_%zpc,f_for_verg_%zpc,f_verg_for_%zpc,f_prairies_vign_%zpc,f_vign_prai_%zpc,f_for_vign_%zpc,f_vign_for_%zpc,f_for_art_ imp_%zpc,f_prai_art_imp_%zpc,f_cult_art_imp_%zpc,f_for_art_enh_%zpc,f_prai_art_enh_%zpc,f_cult_art_enh_%zpc,f_for_art_arb_%zpc,f_ prai_art_arb_%zpc,f_cult_art_arb_%zpc,
,200004802,,,CC du Pays de Fayence,CC,9,28039,37.8023741,50.54489208,56.26935249,125,46,39,25.27244604,30,50.54489208,56.26935249,0.270849016,-0.46167446,0.249753353,-0.484215683,0.115519611,-0.115519611,87.1976259,-87.1976259,74.45510792,-74.45510792,68.73064751,-68.73064751,-0.172705899,0.089079885,-0.256733812,0.15061717,-0.438705899,0.226279885,-0.431733812,0.253283837,-26.26935249,-20.54489208,-7.802374095,-5.724460408,0,12.74251799,0,5.724460408,18.46697839,
,200005932,,,CC des Portes de Sologne,CC,7,15652,43,55,83,125,46,39,27.5,30,55,83,0.586666667,-1,0.2352,-0.456,0.56504,-0.56504,82,-82,70,-70,42,-42,-0.342,0.1764,-0.925,0.542666667,-0.608,0.3136,-1.1,0.645333333,-53,-25,-13,-28,0,12,0,28,40,
,200005957,,,CC de la Région de Rambervillers,CC,30,14002,52.72854073,90.06875668,80.49881105,125,46,39,45.03437834,30,90.06875668,80.49881105,0.407297298,-0.694256758,0.731868233,-1.418928206,-0.193121503,0.193121503,72.27145927,-72.27145927,34.93124332,-34.93124332,44.50118895,-44.50118895,-1.674612754,0.863747631,-0.862470276,0.505982562,-1.940612754,1.000947631,-1.037470276,0.608649229,-50.49881105,-60.06875668,-22.72854073,9.569945632,0,37.34021595,0,-9.569945632,27.77027032,
,200006682,,,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",CA,53,53930,50.79717815,80.018078,72.97765407,125,46,39,40.009039,30,80.018078,72.97765407,0.325313647,-0.554511898,0.572729637,-1.110394194,-0.142075755,0.142075755,74.20282185,-74.20282185,44.981922,-44.981922,52.02234593,-52.02234593,-1.292686964,0.666754329,-0.674441352,0.39567226,-1.558686964,0.803954329,-0.849441352,0.498338926,-42.97765407,-50.018078,-20.79717815,7.040423932,0,29.22089985,0,-7.040423932,22.18047592,
,200006716,,,CC du Nogentais,CC,23,17083,41.68980797,62.55152072,68.72723049,125,46,39,31.27576036,30,62.55152072,68.72723049,0.396548864,-0.675935563,0.40888957,-0.792745084,0.124625823,-0.124625823,83.31019203,-83.31019203,62.44847928,-62.44847928,56.27276951,-56.27276951,-0.628957787,0.324409806,-0.568180762,0.333332714,-0.894957787,0.461609806,-0.743180762,0.435999381,-38.72723049,-32.55152072,-11.68980797,-6.175709771,0,20.86171274,0,6.175709771,27.03742252,
,200006930,,,CC du Haut-Allier,CC,11,5484,52,90.00929617,79.4325555,125,46,39,45.00464809,30,90.00929617,79.4325555,0.402344147,-0.685813888,0.744982205,-1.444353255,-0.213438627,0.213438627,73,-73,34.99070383,-34.99070383,45.5674445,-45.5674445,-1.672353255,0.862582205,-0.835813888,0.490344147,-1.938353255,0.999782205,-1.010813888,0.593010814,-49.4325555,-60.00929617,-22,10.57674067,0,38.00929617,0,-10.57674067,27.4325555,
,200006971,,,CC du Perche,CC,22,19075,49.66637055,80.1240268,75.65567527,125,46,39,40.0620134,30,80.1240268,75.65567527,0.381176469,-0.649732618,0.596970062,-1.157390937,-0.090171334,0.090171334,75.33362945,-75.33362945,44.8759732,-44.8759732,49.34432473,-49.34432473,-1.296713018,0.668830925,-0.741391882,0.434949904,-1.562713018,0.806030925,-0.916391882,0.537616571,-45.65567527,-50.1240268,-19.66637055,4.46835153,0,30.45765624,0,-4.46835153,25.98930471,
,200007052,,,CC de la Marche Berrichonne,CC,9,5832,49.50744937,69.82091772,61.31346835,125,46,39,34.91045886,30,69.82091772,61.31346835,0.173154945,-0.295150475,0.39814398,-0.771911797,-0.171680328,0.171680328,75.49255063,-75.49255063,55.17908228,-55.17908228,63.68653165,-63.68653165,-0.905194873,0.466889987,-0.382836709,0.224597536,-1.171194873,0.604089987,-0.557836709,0.327264202,-31.31346835,-39.82091772,-19.50744937,8.507449369,0,20.31346835,0,-8.507449369,11.80601898,
,200007177,,,CC Pays de Nérondes,CC,12,5148,49.94485694,69.41357298,60.63414523,125,46,39,34.70678649,30,69.41357298,60.63414523,0.156776228,-0.267232207,0.381586834,-0.73981121,-0.177168852,0.177168852,75.05514306,-75.05514306,55.58642702,-55.58642702,64.36585477,-64.36585477,-0.889715773,0.45890603,-0.365853631,0.21463413,-1.155715773,0.59610603,-0.540853631,0.317300797,-30.63414523,-39.41357298,-19.94485694,8.779427744,0,19.46871604,0,-8.779427744,10.6892883,
,200010650,,,CA du Grand Dole,CA,47,55763,49.84003644,74.43414885,67.25316484,125,46,39,37.21707443,30,74.43414885,67.25316484,0.25539255,-0.43532821,0.482044603,-0.934576272,-0.144912257,0.144912257,75.15996356,-75.15996356,50.56585115,-50.56585115,57.74683516,-57.74683516,-1.080497656,0.557309317,-0.531329121,0.311713084,-1.346497656,0.694509317,-0.706329121,0.414379751,-37.25316484,-44.43414885,-19.84003644,7.18098401,0,24.59411241,0,-7.18098401,17.4131284,
