commune,epci
Saint-Germain-d'Esteuil,200069995
Boussy,247400740
Besançon,242500361
Guéthary,200067106
Cantaous,200070829
Morosaglia,200073138
Fatines,200072684
Les Salces,200069268
Cordesse,200070530
Brasparts,200067197
Naves,200068500
Germigny-sur-Loire,245804406
Longchamp,200068757
Moncoutant,200040244
Nances,247300668
Saint-Gilles,243000643
Sainte-Marie-Lapanouze,200066744
Contilly,200072676
Saint-Brieuc-des-Iffs,243500733
Saint-Galmier,244200770
Colleville,200069821
Chaudardes,240200576
Réhon,245400262
Ribes,240700302
Haut-Loquin,246201016
Houetteville,242700607
Roscanvel,200066868
Richemont,200069722
Marle,240200469
Saint-Geniès-Bellevue,243100815
Fraissinet-de-Fourques,200069151
Houdain,200072460
Pleumeleuc,243500550
Autrechêne,200069052
Rilhac-Xaintrie,200066751
Parcé,200072452
Ploemel,200043123
La Terrasse,200018166
Yvias,200067981
Sainte-Colombe,200041523
Saint-Gineis-en-Coiron,240700815
Loiré,244900809
Ardenais,200049484
Pré-Saint-Évroult,242852465
Uhlwiller,200067874
Coublevie,243800984
Lachapelle,200071181
Challes-la-Montagne,200029999
Roncenay,200069250
Nixéville-Blercourt,200066165
Aschbach,200040178
Cusy,200066793
Frémainville,200035970
Cézac,243301181
Plounévez-Quintin,242200715
Lamorville,200034874
Saint-Marcan,200070670
Fresne-l'Archevêque,200072312
Meurcé,200072676
Routes,200069847
La Barre-de-Semilly,200066389
Breux-Jouy,249100595
Porcheville,200059889
Ornans,200068070
Drubec,241400878
Jully-lès-Buxy,247104094
Épénancourt,200070985
Faget-Abbatial,200072320
Durfort-et-Saint-Martin-de-Sossenac,200034411
Boisset,200066678
Guenviller,245700398
Saint-Laurent-de-la-Prée,200041762
La Grave,240500439
La Crouzille,200072080
Saint-Vincent,246401756
Gibel,200071298
Sainte-Foi,200044469
Lapanouse-de-Cernon,241200906
Erdeven,200043123
Ruffieux,200068674
Morey,247100290
Virey-le-Grand,247100589
Gaillac-Toulza,200068807
Wittersdorf,200066041
Vinsobres,200068229
Chassillé,200040475
Montjoux,242600492
La Neuville-Roy,246000566
Courcelles,200071850
Cernon,200012060
La Loge,200044030
Bars,243200425
Plourac'h,200067981
Barcugnan,200035756
Mouflaines,200071843
Neufmoulin,200070993
Neuville-Ferrières,200070068
Soultz-les-Bains,246701064
Fontains,247700701
Wicquinghem,200069235
Rousses,200069151
Quarouble,245901160
Beaupuy,200030674
Seyssel,200070852
Goderville,247600505
Moyencourt-lès-Poix,200071181
Laventie,245900758
Fépin,240800821
Sauveterre,200040418
Sainte-Feyre,200034825
Bully,244200614
Maucourt,246000756
Saint-Pair-sur-Mer,200042604
Saint-Mard-sur-Auve,200042703
Yssingeaux,244301016
Ganties,200073146
Volvic,200070753
Courdimanche-sur-Essonne,249100157
Dampierre-en-Bray,200069730
Escaro,200049211
Saint-Maurice-des-Noues,248500415
Aisey-et-Richecourt,200036150
Limalonges,200069755
Villeneuve-d'Amont,242504488
Braquis,245501242
Lux,242100154
Toulon-sur-Arroux,200070316
Condes,200012060
Vulaines-lès-Provins,200037133
Bretenière,242100410
Miramont-d'Astarac,200035756
Neuilly-en-Donjon,200071470
Grossœuvre,200071454
Chavéria,243901071
Ougny,200067882
Bobital,200068989
Lombia,200067296
Le Givre,200071900
Saint-Julien-de-Civry,200071884
Le Versoud,200018166
Vichy,200071363
Mèze,200066355
Puessans,200068294
Aucey-la-Plaine,200069425
Bouilland,200006682
Récourt-le-Creux,200066165
Luchapt,200070043
Bus-la-Mésière,200070977
Ilonse,200030195
Lestiac-sur-Garonne,200069581
Navenne,247000011
Villandraut,200043974
Saint-Vincent-d'Autéjac,248200057
Behonne,200033025
Hâcourt,200069664
Vieillevie,200066678
Sainte-Agnès,200072056
Castelnau-Magnoac,200070795
Foissy-sur-Vanne,248900664
Margaux-Cantenac,243301447
Aramon,243000684
Claye-Souilly,200055655
Fontenay-le-Vicomte,249100546
Fontanges,241501139
Levier,242504488
Valailles,200066413
Aiglepierre,200071595
Saint-Sauveur-de-Puynormand,200070092
Gimel-les-Cascades,241927201
Jayat,200071751
Vernouillet,200059889
Goudelancourt-lès-Pierrepont,240200576
Saint-Marcory,200034833
Puy-Saint-Vincent,240500462
Bertheauville,200069839
Herrlisheim-près-Colmar,246800726
Fontenay-Mauvoisin,200059889
Cieutat,246500482
Adriers,200070043
Croix,245900410
Chamouilley,200068666
Mélicourt,200066413
Saint-Germé,200035632
Plerguer,243500782
Arboys en Bugey,200040350
Maizières-lès-Metz,200039949
Crépon,200069516
Val-d'Izé,200039022
Audincthun,200069037
Vaux-Villaine,200041622
Rety,246200380
Ambeyrac,200069383
Witternheim,200067924
Bœurs-en-Othe,248900664
Saint-Michel-sous-Bois,200069235
Gruny,200070977
Laruscade,243301181
Cursan,243301215
Briare,200068278
Monceau-lès-Leups,200071785
Maretz,200030633
Piets-Plasence-Moustrou,200067239
Aulnois-sur-Seille,245701206
Mégrit,200068989
Daigny,200041630
La Chomette,200073393
Rennes-les-Bains,200071926
Cussy-le-Châtel,200071173
Bazens,200068922
Saulvaux,200066157
Ruillé-Froid-Fonds,245300223
Lavoûte-Chilhac,200073393
Pradines,200066645
Han-devant-Pierrepont,200043693
Glanon,242101509
Soye,200068294
Montreuil-sur-Barse,200069250
La Chapelle-Saint-Luc,200069250
Vesdun,200049484
Lemoncourt,245701206
Servigney,200041861
Le Vigean,241500271
Chevillard,200042935
Marchastel,200069144
Parçay-sur-Vienne,200072668
Comps,243000684
Béruges,200069854
Asnières-sur-Blour,200070043
Chazeaux,240700617
Senarpont,200071181
Belloy-en-Santerre,200070928
Saint-Leu-la-Forêt,200058485
Réalmont,200034049
Les Mayons,248300550
Saint-Grégoire-d'Ardennes,200041523
Verlans,247000722
Talus-Saint-Prix,200066850
Veuzain-sur-Loire,200030385
Cœuvres-et-Valsery,200071991
Sécheras,200073096
Wintzenheim-Kochersberg,200034635
Fleury-sur-Loire,200067700
Wahlenheim,200067874
Saubrigues,244000865
Le Broc,200070407
Hérenguerville,200067023
Montagudet,200040418
Breuil-le-Vert,246000376
Nancray,242500361
Cerny,249100546
Barzy-sur-Marne,200072031
Puiseux-en-France,200055655
Bernardswiller,246701080
Chaux-lès-Port,200041879
Sauve,200034411
Ver-lès-Chartres,200033181
Bourg-Madame,246600399
Salavre,200071751
Mormant-sur-Vernisson,244500203
Le Châtel,200070464
Bouillac,200066652
Anais,200041614
Houville-la-Branche,200033181
Luze,247000722
Ferrussac,200073393
Millebosc,247600588
Sorel-Moussel,200040277
Drosay,200069839
Loulay,200041689
Escot,200067262
Clion,200035848
Pontchâteau,200000438
Maizy,240200576
Saint-Pierre-d'Amilly,200041614
Cousances-lès-Triconville,200066157
Saint-Jean-Lachalm,244301123
Saint-André-le-Gaz,200068567
Martigny-les-Gerbonvaux,200068559
Pezuls,200034833
Esteil,200070407
Herqueville,200035665
Saliès,248100737
Puihardy,200069748
Cabris,200039857
Billière,200072635
Sérempuy,200034726
Lomné,200070787
Gaujac,200034692
Magny-la-Fosse,240200493
Le Buisson,200067379
Castillonnès,200036523
Escatalens,200066652
Ivrey,200071595
Surfontaine,200040426
Bouleurs,247700438
Puisenval,247600604
Bourdeaux,242600492
Voivres-lès-le-Mans,247200629
Aigues-Mortes,243000650
Landreville,200069003
Monnaie,200073161
Villeneuve-Renneville-Chevigny,200067684
Saint-Symphorien,200072718
Montfermy,200071215
Mescoules,200070647
Granges-Narboz,242500338
La Tour,247400666
Saint-Julien-le-Petit,248719353
Busigny,200030633
Griselles,244500419
