siren,feuillus,coniferes,mixtes,peupleraies,total,jeune_peup,tx_boisement,,
200034197,6805.9,1506.1,1679.8,254,10489.6,243.8,0.395532462,,
200034205,13572.5,21,21.7,0,13617.2,2,0.735738754,,
200034270,3135.2,3114.8,2439.7,15.4,8868.1,163,0.464592752,,
200034379,20006.9,1454.8,2731.1,0,24531.8,339,0.545650685,,
200034411,20251.3,1426.7,3982.9,2.8,25851.1,187.4,0.571018667,,
200034601,25285.8,6928.1,3643,0,35916.8,59.9,0.75112878,,
200034635,293.4,0.6,1.2,3.4,298.6,0,0.021953945,,
200034692,22134.4,1605.4,6935.8,4.8,31155.9,475.5,0.495249525,,
200034700,22011.2,4090.1,16043,19.5,45243.4,3079.6,0.536411977,,
200034700,22011.2,4090.1,16043,19.5,45243.4,3079.6,0.536411977,,
200034718,1740.8,318.6,2378.4,1387.8,6971.2,1145.6,0.132466086,,
200034726,3685.6,66,61.9,72.9,3910.9,24.5,0.091284244,,
200034825,12705,1295.9,468.8,7.5,15163.7,686.5,0.337237154,,
200034833,27469.8,2796.7,2648.9,223,34165.4,1027,0.511585214,,
200034874,15577.7,320.4,774.4,40.6,16922.2,209.1,0.392971098,,
200034882,1879.3,8887.9,4145.5,0,14912.7,0,0.342693066,,
200034957,2463.5,75.7,83,52.3,2698.2,23.7,0.166276375,,
200035087,1445.7,2000.6,727.9,0,4217.6,43.4,0.162837298,,
200035103,2597.1,102.7,88.9,148.7,3034,96.6,0.108715905,,
200035111,4017.1,2121.7,723.3,100.1,7405.5,443.3,0.202360946,,
200035129,15002.1,2437.3,1431.9,64.7,19314.1,378.1,0.600092589,,
200035129,15002.1,2437.3,1431.9,64.7,19314.1,378.1,0.600092589,,
200035137,9285.2,249.4,342.9,63.2,10159.8,219.1,0.197538497,,
200035202,1977.6,3040.2,980.1,12.8,6037.1,26.4,0.215510656,,
200035319,8310.5,2810.6,11171.8,4.4,23784.3,1487,0.675456234,,
200035327,13573.1,1666.2,548.7,116,16027.9,123.9,0.641490631,,
200035442,1460.8,1.2,5.4,424.7,1937.4,45.3,0.045698246,,
200035459,6766,293.9,307.8,593.4,8148.5,187.4,0.168686446,,
200035533,2862.5,85.5,494.1,81.2,3543.7,20.4,0.148950658,,
200035541,11392.1,46016.5,2259.8,372.4,81013.2,20972.4,0.75763544,,
200035632,5632,113.1,78.5,107,6042.4,111.8,0.202296696,,
200035665,8018.1,1836.8,633.2,86.7,11214.1,639.3,0.392742695,,
200035707,7219.2,402.6,458.9,26.7,8150.6,43.2,0.16733871,,
200035715,22142,11078.9,6490.4,52.2,40141.2,377.7,0.372155722,,
200035723,14649.8,4005.9,7475.9,0,26257.5,125.9,0.649417299,,
200035723,14649.8,4005.9,7475.9,0,26257.5,125.9,0.649417299,,
200035731,7939.4,4591.8,2660.4,30.7,15392.6,170.3,0.221549896,,
200035756,8028.8,75.7,105.4,41.9,8292.8,41,0.215925157,,
200035764,4395.8,233,187.4,0,4900.2,84,0.122224495,,
200035772,6408.1,281.3,375,55.3,7166,46.3,0.204436786,,
200035814,5140.2,1536.8,750.3,177.8,8129.4,524.3,0.141977422,,
200035848,3340.9,298,304.2,312,4285.2,30.1,0.155213631,,
200035855,6420.2,1010.2,740.3,8.5,8242.4,63.2,0.165895464,,
200035863,24289.7,13863.4,4506.1,0.8,43131.4,471.4,0.523787665,,
200035970,4216.2,76.2,9.3,79.3,4445.9,64.9,0.183085425,,
200036069,4562.6,311.8,327.6,244.9,5669.9,223,0.139765623,,
200036077,22403.1,2987.5,5538.6,9.9,31724.9,785.8,0.732373915,,
200036135,9812.4,198.7,213.2,38.7,10351.2,88.2,0.270322077,,
200036150,15761.8,426.7,460.7,165.4,17346.6,532,0.35257962,,
200036465,4075.2,1843.7,2727.4,16.2,8783.4,120.9,0.557099637,,
200036473,8779.4,140.7,16.3,433.5,9645.4,275.5,0.202546372,,
200036499,7660.5,117.7,99.1,0,7886.9,9.6,0.433043975,,
200036523,9810,788.6,894.4,496.7,12140.7,151,0.179485966,,
200036549,16650.5,1092.5,650.9,510.7,19745.1,840.5,0.395264853,,
200036572,3205.4,125.3,90.3,68.1,3510.9,21.8,0.207085095,,
200037059,2771.8,30.3,33.1,281.7,3164.6,47.7,0.067883796,,
200037133,8206.1,39,33.8,496.9,8987.7,211.9,0.142877582,,
200038958,46745.9,2935.8,3501.3,0,53246.1,63.1,0.809842628,,
200038990,1951.6,553.7,348.4,91.7,3168.2,222.8,0.088995132,,
200039022,6802.1,1073.5,408.8,268.3,8718,165.3,0.099088337,,
200039055,13647.2,1056.4,1755.1,12.2,16578.7,107.8,0.51815886,,
200039063,19782.2,750.1,1797.4,2.6,22421.7,89.4,0.526335928,,
200039204,19922.1,617.5,685,320.1,21817.7,273,0.297249134,,
200039519,13002.1,338.9,182.1,67.2,13645.9,55.6,0.326485056,,
200039642,23307.2,1985.6,6301.5,94.5,31962.4,273.6,0.403645162,,
200039709,13686.5,1174.9,2168.1,38.3,17412.6,344.8,0.306416901,,
200039758,25679.1,4055.3,3185.1,62.2,33794.3,812.6,0.465542014,,
200039808,22087.5,571.4,854.5,3.7,23531.4,14.3,0.567214403,,
200039824,16592.2,1911,1109.3,0,19617.3,4.8,0.734906494,,
200039832,13435.7,6929,2258.2,3,22649.2,23.3,0.684296871,,
200039857,11190.2,15555.5,8326,0,35118.3,46.6,0.714713388,,
200039865,6798,132,374.7,70.2,7397.5,22.6,0.24171124,,
200039907,3395.9,218.1,78.7,98.6,3815.2,23.9,0.15414389,,
200039915,1604.8,1766.8,879.1,0,4296.2,45.5,0.440599746,,
200039931,9486.3,30253,15204.5,0,54998,54.2,0.62473164,,
200039949,2438.4,92.2,135.8,8.7,2684.3,9.2,0.212537016,,
200040038,7381.5,0,0,506.1,8238.1,350.5,0.258159438,,
200040095,8285.2,3308.7,3342.1,225,15862.1,701.1,0.551949837,,
200040111,5127.2,11881.3,7406.7,7.5,24422.7,0,0.686086788,,
200040111,5127.2,11881.3,7406.7,7.5,24422.7,0,0.686086788,,
200040137,6987.8,47.3,117.1,785.8,8103.3,165.3,0.184403119,,
200040178,2573.3,193,630.9,16.6,3718.6,304.8,0.311208563,,
200040202,35211,4526.2,9762.7,0,50920.9,1421,0.784013611,,
200040210,17630.8,13792.9,8456.4,2,40584.7,702.6,0.72738564,,
200040244,7444.5,632.8,339.3,301.9,8986.8,268.3,0.067784337,,
200040251,9394.2,85.1,60,923.2,10561.4,98.9,0.250152179,,
200040277,16663.8,718.7,577.5,131.9,18614.3,522.4,0.183806815,,
200040277,16663.8,718.7,577.5,131.9,18614.3,522.4,0.183806815,,
200040293,10216.1,2109.2,767.9,24.3,13534.1,416.6,0.300952394,,
200040350,23471.8,3979.3,4240,1017.5,32787.1,78.5,0.526366402,,
200040384,7154.2,2597.5,2169,106.8,12704.9,677.4,0.535091857,,
200040392,35219.3,7238.5,8298,113.6,53064.6,2195.2,0.520943429,,
200040400,15257.2,3144.4,3189,259.2,22862.7,1012.9,0.333413541,,
200040418,10955.7,235,145.9,117,11480.5,26.9,0.254079368,,
200040426,1316,2,13.6,714.1,2142,96.3,0.065342928,,
200040442,9759.5,2358.2,4337.1,2.6,16502.4,45,0.457417822,,
200040459,8569.5,577.1,2970.6,0.9,12245,126.9,0.330090387,,
200040475,3286.6,906.5,325.5,208,4946.1,219.5,0.106772559,,
200040491,9523,104.6,1255.6,197.9,11284.4,203.3,0.266924656,,
200040491,9523,104.6,1255.6,197.9,11284.4,203.3,0.266924656,,
200040509,3387,5944.4,7307.8,0,16715.3,76.1,0.706210655,,
200040558,11424.3,660.7,440.3,496.3,13224.3,202.7,0.243618605,,
200040566,5368,18641.1,1929.6,8.4,26020.3,73.2,0.450453305,,
200040574,4845.4,696,141.3,60.8,5758.4,14.9,0.233183639,,
200040590,2792.7,778,193.3,31.7,3795.7,0,0.220717447,,
200040590,2792.7,778,193.3,31.7,3795.7,0,0.220717447,,
200040624,28457.5,4200.1,7070.2,3,40136.4,405.6,0.626685716,,
200040624,28457.5,4200.1,7070.2,3,40136.4,405.6,0.626685716,,
200040657,12432.3,11663.3,7330.6,0,31426.2,0,0.438712433,,
200040681,10317.7,771.5,5040.6,3.8,16310.2,176.6,0.437164123,,
200040681,10317.7,771.5,5040.6,3.8,16310.2,176.6,0.437164123,,
200040715,21253.5,5113.8,3796.8,78.6,30242.7,0,0.557454738,,
200040764,27146,6304.8,10865.6,0,44341,24.6,0.754202535,,
200040772,6717.1,942.1,509,85.1,8349.3,96,0.215279139,,
200040798,2522.2,7415.9,1498.1,0,11436.2,0,0.265413733,,
200040814,7327.4,653.3,585.4,5.4,9475.6,904.1,0.288211015,,
200040830,17336.2,361.6,700.3,98.6,18825.3,328.6,0.576151826,,
200040889,4195.4,155.3,295.7,120.1,4786.4,19.9,0.165899512,,
200040905,10941.4,344.2,273.7,10,11619.7,50.4,0.235534619,,
200040947,3703.5,5.3,90.3,265.4,4137,72.5,0.066314762,,
200040954,1014.4,0,1.4,40.7,1104.6,48.1,0.025379801,,
200041010,10015.7,3025.2,3149.3,97,16287.2,0,0.493481231,,
200041051,10705.8,1044,1091.4,185.3,13528.3,501.8,0.52830476,,
200041150,24687.20568,980.8180378,2108.724757,83.4,28466.44313,606.2946583,0.482463181,,
200041168,25402.19432,2925.981962,3235.575243,76.8,32330.25687,689.7053417,0.611525723,,
200041283,2515.3,111.2,265.7,187.8,3274.4,194.4,0.219540322,,
200041317,4030.6,80.2,267,1960.2,6775.5,437.5,0.083080636,,
200041325,3664.9,76,424.9,152.1,4659.4,341.5,0.285900118,,
200041333,8135.1,502.1,501.2,244.4,9601.8,219,0.114373588,,
200041366,7528.8,933,1589.2,0,10056,5,0.49897783,,
200041416,2693.9,123.2,191.6,85.2,3164.2,70.3,0.138692498,,
200041440,19400.1,1865.3,2013.1,100.5,23916,537,0.620688581,,
200041465,10473.4,14419.4,9800.6,0,34702.7,9.3,0.677230246,,
200041499,2851.6,189.8,122.5,68.5,3287.8,55.4,0.074619278,,
200041515,8995.3,331.1,406.8,20.5,10232,478.3,0.380455193,,
200041523,25694,13557.8,7601.6,1063.2,51866.4,3949.8,0.289266611,,
200041556,4693.3,143.4,270.5,25.9,5338.6,205.5,0.154326912,,
200041572,21230.2,1615.8,3238.6,96.5,27653.8,1472.7,0.530602847,,
200041614,2146.8,12.7,27.6,164.6,2392.3,40.6,0.051386642,,
200041622,9889.4,1266.4,919.1,226.7,12571,269.4,0.289855407,,
200041630,17931.2,5440.8,2570.2,166.5,26848.6,739.9,0.471961229,,
200041689,16553.3,228.3,306.7,1389,19196,718.7,0.134813217,,
200041721,20143.62022,983.8026228,1878.057687,133.4,23849.6397,710.7591674,0.524506932,,
200041762,2616,7.2,39.2,49.5,2792.2,80.3,0.06555722,,
200041853,10287.3,437.4,1018.2,63.7,11971.8,165.2,0.501524876,,
200041861,15538.9,364.6,559.1,20.8,17112.5,629.1,0.462167739,,
200041879,13465.3,798,594.2,170.5,15622.1,594.1,0.425385164,,
200041887,8818.3,304.9,455.5,61.7,9857.3,216.9,0.324944866,,
200041887,8818.3,304.9,455.5,61.7,9857.3,216.9,0.324944866,,
200041960,2490,28.9,18.2,946.9,3621.6,137.6,0.116229288,,
200041994,3164.3,0,24.8,176.6,3412,46.3,0.098335048,,
200042000,3195.1,8767.3,4581.6,1.2,16881.7,336.5,0.631561423,,
200042174,13160.8,1773.2,3760,101.8,19175.2,379.4,0.261419873,,
200042182,4214.9,2023.3,689.4,98.8,7353.9,327.5,0.134387272,,
200042190,6908.6,413.3,208.3,1259,8923.7,134.5,0.242148366,,
200042372,4087.6,77.6,94.9,125,4434.9,49.8,0.109783448,,
200042414,4856.9,12.1,47,494.8,5537.9,127.1,0.195621227,,
200042463,12203.9,5754.5,1752.9,0,20476.4,765.1,0.678523025,,
200042497,1541.2,0,11.9,139.5,1701,8.4,0.094100075,,
200042604,1341.3,67.1,47.8,104.1,1628.9,68.6,0.056962313,,
200042620,1026.2,3234.7,5394,45.2,10492.3,792.2,0.21887412,,
200042646,28947.7,4125.5,2655.1,9.2,35846.1,108.6,0.780004047,,
200042653,4559.3,4737.8,2694.5,0,12059.4,67.8,0.383965613,,
200042703,15046.6,4869.5,2963.3,984.4,25332,1468.2,0.304589036,,
200042729,341,30.6,16.7,34.4,485.5,62.8,0.011083716,,
200042901,4757.3,480.2,1375.5,2.3,6698.2,82.9,0.231227561,,
200042935,8485.3,11835.1,12761.3,10.8,33108.9,16.4,0.656134997,,
200042943,23095.5,78.1,224.5,0,23455.3,57.2,0.761679147,,
200042992,4681.5,14.8,80.2,1229.3,6231.3,225.5,0.219034831,,
200043016,6987.9,9.4,24.1,72.1,7406.6,313.1,0.17531742,,
200043065,7410.8,193.9,155.6,149.1,8024.1,114.7,0.316978941,,
200043081,6203.6,2475,1356,1210.9,11743.8,498.3,0.367887026,,
200043123,5425,3265.3,4162.3,26.9,13196.6,317.1,0.248000451,,
200043156,3022.1,310.8,770.3,781,5041.3,157.1,0.061798889,,
200043172,26529.1,441.8,1593.5,160.5,29003.7,278.8,0.358918481,,
200043263,5387.2,238.5,739.5,322.4,6860.4,172.8,0.165768204,,
200043321,10836,36.8,82.6,1038.4,12397.4,403.6,0.264840027,,
200043354,1091.9,22.7,38.9,58.4,1264.4,52.5,0.04265195,,
200043396,3703.1,32.4,147,311.8,4301,106.7,0.124429349,,
200043404,7087.6,522.6,337.6,112.1,8239.1,179.2,0.458785533,,
200043438,1009.3,564.7,731,212.9,2894.6,376.7,0.058814087,,
200043495,9948.2,382.7,219.7,573.2,11268.7,144.9,0.365929852,,
200043602,9792.1,408.2,268.1,31.3,10510.6,10.9,0.357536236,,
200043628,7796.8,709.4,452.8,371.4,9608,277.6,0.254829102,,
200043693,6167.3,419,554.7,15.2,7193.5,37.3,0.294958217,,
200043776,34344.1,19980.7,17178.9,7,72014.7,504,0.761398022,,
200043974,9264.7,32600.6,2741.6,368.1,60384.7,15409.7,0.731012467,,
200043982,9196.5,23894.8,1476.1,571.5,43224.5,8085.6,0.711425402,,
200043990,5168.3,1348.6,1071.1,104.2,7874.5,182.3,0.156301794,,
200044014,13159.6,6444,6069.4,0,28678.8,3005.8,0.466819133,,
200044030,5124,26.8,32.2,480.9,5854.5,190.6,0.116718369,,
200044048,1529.2,14.1,0,495.2,2154.7,116.2,0.064739339,,
200044253,23201.8,1229.3,3499.9,95.9,29129.8,1102.9,0.417322214,,
200044394,6061,756.3,481.7,794.1,8382.7,289.6,0.257255617,,
200044469,12245.8,1216.3,1879,100.6,15497.3,55.6,0.459816872,,
200044618,2140.3,5,15.1,644.6,2870,65,0.121365895,,
200046977,7043.4,17.5,152.3,64.8,7278,0,0.136355461,,
200048551,1879.1,227.3,104,153.8,2448.2,84,0.037900121,,
200049187,8121.9,3681.8,2364.5,42.7,14411,200.1,0.478278185,,
200049211,28898.1,20532.1,5560.9,0,55059.2,68.1,0.660560057,,
200049484,9721.6,761.9,791.6,114,11497.3,108.2,0.133871663,,
200054781,7898.7,51.5,40.9,2.9,8160.4,166.4,0.124555073,,
200054781,7898.7,51.5,40.9,2.9,8160.4,166.4,0.124555073,,
200054781,7898.7,51.5,40.9,2.9,8160.4,166.4,0.124555073,,
200054781,7898.7,51.5,40.9,2.9,8160.4,166.4,0.124555073,,
200054781,7898.7,51.5,40.9,2.9,8160.4,166.4,0.124555073,,
200054781,7898.7,51.5,40.9,2.9,8160.4,166.4,0.124555073,,
200054807,31573.5,58478.5,34231.3,15.5,127938.3,3639.5,0.406665861,,
200054807,31573.5,58478.5,34231.3,15.5,127938.3,3639.5,0.406665861,,
200054807,31573.5,58478.5,34231.3,15.5,127938.3,3639.5,0.406665861,,
200055481,6284.8,377.5,171.5,67,7080.2,179.4,0.13764987,,
200055655,2792.3,35.6,31.5,266,3154.3,28.9,0.092124862,,
200055655,2792.3,35.6,31.5,266,3154.3,28.9,0.092124862,,
200055887,4943.3,299.9,182.1,248.3,5894.5,220.9,0.094111129,,
200056232,3442.8,0,49,9.7,3522.5,21,0.188536348,,
200056380,1964.1,23.1,0,1.3,2056.4,67.9,0.275011702,,
200057859,2390.1,168.1,46.4,30.4,2640.2,5.2,0.197852267,,
200057958,2923.3,10,9.5,6.2,3092.3,143.3,0.321474982,,
200058360,6572.8,265.8,89.5,50.7,7124.8,146,0.149264863,,
200058477,2132.4,52.9,274.3,12.1,2636.5,164.8,0.394419927,,
200058485,1580.7,0,0,9.6,1600.2,9.9,0.184337849,,
200058519,4911.3,71.8,32.9,14.1,5141.6,111.5,0.415731427,,
200058519,4911.3,71.8,32.9,14.1,5141.6,111.5,0.415731427,,
200058782,2649.6,9.9,36.6,0,2743.1,47,0.22849075,,
200059228,4796.1,113.7,199.9,30.4,5181.2,41.1,0.2333527,,
