type_localisation,code_localisation,nom_localisation,composition,surface_ic,surface_(ha),volume_(m3),volume_(m3∙ha-1),carbone_(tC),carbone_(tC∙ha-1),bois_mort_volume_(m3),bois_mort_volume_(m3∙ha-1),bois_mort_carbone_(tC),bois_mort_carbone_(tC∙ha-1),production_volume_(m3∙an-1),production_volume_(m3∙ha-1∙an-1),production_carbone_(tC∙an-1),production_carbone_(tC∙ha-1∙an-1),prelevement_volume_(m3∙an-1),prelevement_volume_(m3∙ha-1∙an-1),prelevements_carbone_(tC∙an-1),prelevement_carbone_(tC∙ha-1∙an-1),mortalite_volume_(m3∙an-1),mortalite_volume_(m3∙ha-1∙an-1),mortalite_carbone_(tC∙an-1),mortalite_carbone_(tC∙ha-1∙an-1),bilan_volume_(m3∙an-1),bilan_volume_(m3∙ha-1∙an-1),bilan_carbone_(tC∙an-1),bilan_carbone_(tC∙ha-1∙an-1),fexp_vol_carb
rad13,CVL,Centre-Val de Loire,Conifere,s,97514.73,22331362.64,228.41,7886618.48,80.71,1678847.5,17.44,422263.69,4.38,821996.44,8.45,287925.99,2.96,490312.4,5.37,174979.19,1.91,98649.67,1.05,34839.45,0.37,233034.37,2.03,78107.36,0.68,0.35
rad13,CVL,Centre-Val de Loire,Feuillu,s,775838.1,148528081.98,191.21,76373085.26,98.32,20678884.44,26.61,7366144.25,9.48,3888600.41,5.02,1969037.11,2.54,1786676.03,2.42,922795.35,1.25,1016492.36,1.38,522680,0.71,1085432.03,1.22,523561.77,0.58,0.51
rad13,CVL,Centre-Val de Loire,Mixte,s,95415.5,18478793.53,191.97,7848823.69,81.56,2442094.2,25.51,699242.27,7.31,588948.02,6.18,243215.62,2.55,226693.32,3.1,92385.56,1.25,135216.25,1.73,57432.78,0.73,227038.45,1.36,93397.28,0.57,0.42
rad13,GES,Grand Est,Conifere,s,246434.42,82057908.95,332.61,25105405.96,101.84,12118476.37,48.73,2799634.23,11.26,2566956.65,10.47,765795.93,3.12,2895410.65,12.19,810715.8,3.41,448953.77,1.88,137356.25,0.57,-777407.78,-3.6,-182276.12,-0.86,0.31
rad13,GES,Grand Est,Feuillu,s,1414789.47,275216289.02,194.53,142490255.49,100.71,44456753.15,31.38,14724996.68,10.4,7399846,5.24,3752802.35,2.66,4602695.32,3.45,2399968.79,1.8,1574154.55,1.17,815001.48,0.61,1222996.12,0.62,537832.08,0.25,0.52
rad13,GES,Grand Est,Mixte,s,212919.97,51377374.36,241.84,20106337.08,94.61,9335890.99,44.25,2559150.36,12.09,1648368.68,7.66,625799.04,2.91,1608244.02,6.35,552741.86,2.19,723930.59,2.88,283307.44,1.13,-683805.93,-1.58,-210250.26,-0.4,0.39
rad13,HDF,Hauts-de-France,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rad13,HDF,Hauts-de-France,Feuillu,s,399371.24,78040608.74,195.79,40494819.78,101.58,10186205.99,25.42,3353709.49,8.38,2269387.5,5.72,1126996.32,2.84,1405549.93,3.7,711237.08,1.87,377462.54,0.99,195863.13,0.51,486375.03,1.03,219896.11,0.45,0.52
rad13,HDF,Hauts-de-France,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rad13,IDF,Ile-de-France,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rad13,IDF,Ile-de-France,Feuillu,s,236643.92,49599861.3,210.02,25248965.23,106.96,7515149.23,30.99,2673120.21,11.02,1209702.29,5.09,597186.32,2.52,522156.91,2.29,256741.72,1.12,308941.86,1.37,157267.82,0.7,378603.53,1.44,183176.78,0.7,0.51
rad13,IDF,Ile-de-France,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rad13,NAQ,Nouvelle-Aquitaine,Conifere,s,809669.02,125945925.62,155.91,45654909.94,56.51,6915746.85,8.63,1773119.44,2.21,9436904.69,11.7,3455414.52,4.28,7027380.74,9.39,2479647.26,3.31,216134.78,0.28,78348.02,0.1,2193389.17,2.02,897419.24,0.87,0.36
rad13,NAQ,Nouvelle-Aquitaine,Feuillu,s,1465427.82,252757327.49,172.2,137718680.28,93.84,54458131.4,37.05,19178596.54,13.06,7984775.47,5.45,4146145.02,2.83,2614519.64,1.9,1310349.61,0.95,1592730.38,1.16,867823.41,0.63,3777525.46,2.39,1967972,1.25,0.54
rad13,NAQ,Nouvelle-Aquitaine,Mixte,s,200119.95,41718396.03,208.52,18176000.96,90.59,5693102.6,27.91,1730681.96,8.51,1585655.59,7.9,643161.55,3.2,1013471.98,5.32,373121.24,1.97,181966.64,0.98,79279.79,0.43,390216.97,1.6,190760.51,0.8,0.44
rad13,NOR,Normandie,Conifere,s,50103.64,13650013.74,276.93,4470747.64,90.42,1950317.06,40,428347.5,8.76,559234.05,11.42,182338.25,3.7,431830.48,9.54,135542.93,3,11306.29,0.27,3703.12,0.09,116097.28,1.61,43092.2,0.62,0.33
rad13,NOR,Normandie,Feuillu,s,329320.68,66160524.05,200.2,35436483.57,107.16,6886447.6,20.86,2219930.03,6.73,1823107.79,5.53,941605.85,2.85,918975.83,2.77,488259.54,1.47,179989.45,0.55,96404.82,0.29,724142.51,2.21,356941.49,1.09,0.54
rad13,NOR,Normandie,Mixte,s,25372.36,5565053.66,220.56,2415424.29,96.12,660815.58,26.18,211266.31,8.19,175597.12,6.82,72114.32,2.82,214899.84,6.71,69871.17,2.17,25487.33,0.76,11062.37,0.33,-64790.05,-0.65,-8819.23,0.32,0.43
