type_localisation,code_localisation,nom_localisation,composition,surface_ic,surface_(ha),volume_(m3),volume_(m3∙ha-1),carbone_(tC),carbone_(tC∙ha-1),bois_mort_volume_(m3),bois_mort_volume_(m3∙ha-1),bois_mort_carbone_(tC),bois_mort_carbone_(tC∙ha-1),production_volume_(m3∙an-1),production_volume_(m3∙ha-1∙an-1),production_carbone_(tC∙an-1),production_carbone_(tC∙ha-1∙an-1),prelevement_volume_(m3∙an-1),prelevement_volume_(m3∙ha-1∙an-1),prelevements_carbone_(tC∙an-1),prelevement_carbone_(tC∙ha-1∙an-1),mortalite_volume_(m3∙an-1),mortalite_volume_(m3∙ha-1∙an-1),mortalite_carbone_(tC∙an-1),mortalite_carbone_(tC∙ha-1∙an-1),bilan_volume_(m3∙an-1),bilan_volume_(m3∙ha-1∙an-1),bilan_carbone_(tC∙an-1),bilan_carbone_(tC∙ha-1∙an-1),fexp_vol_carb
groupeser,A1,Grand_ouest_1,Conifere,s,54146.84,13742150.11,247.74,4608048.59,83.34,1224169.36,21.17,318339.03,5.58,630236.26,11.43,201841.73,3.67,742642.89,13.24,229400,4.11,73536.49,1.21,24658.42,0.41,-185943.12,-3.02,-52216.69,-0.85,0.34
groupeser,A1,Grand_ouest_1,Feuillu,s,342679.83,59469228.05,173.59,32393743.42,94.55,7986656.67,23.14,2666256.96,7.74,1807280.05,5.28,923979.19,2.7,469388.76,1.48,229883.92,0.73,184393.15,0.58,100441.6,0.32,1153498.14,3.22,593653.67,1.66,0.54
groupeser,A1,Grand_ouest_1,Mixte,s,39374.74,9594787.61,242.88,3926933.91,99.8,1260364.89,34.99,335487.33,9.21,374980.17,9.65,145108.86,3.74,342391.88,9.95,114645.7,3.34,35876.96,1.06,14683.65,0.43,-3288.67,-1.37,15779.52,-0.03,0.41
groupeser,AX,Grand_ouest_2_et_3,Conifere,s,35378.19,8770249.82,244.86,3288656.39,91.95,927472.09,25.42,262278.61,7.12,362898.99,10.35,131697.68,3.75,215745.59,5.88,80145.64,2.18,20863.58,0.61,7823.4,0.23,126289.82,3.85,43728.64,1.34,0.37
groupeser,AX,Grand_ouest_2_et_3,Feuillu,s,215435.96,36219550.75,168.48,19759736.68,91.95,4609257.61,21.41,1646686.3,7.65,1187358.86,5.53,619749.06,2.89,202391.46,1.09,106703.99,0.57,120854.73,0.67,65932.83,0.37,864112.67,3.78,447112.24,1.95,0.55
groupeser,AX,Grand_ouest_2_et_3,Mixte,s,24377.18,5041291.44,204.58,2313867.53,94.51,567677.15,21.15,180454.37,6.77,194424.51,7.85,86082.24,3.46,95582.03,3.94,41827.93,1.74,20122.73,0.75,9235.99,0.34,78719.74,3.16,35018.32,1.38,0.46
groupeser,B3,Centre_nord_semi_oceanique_3,Conifere,s,28054.38,7607226.68,295.06,2507641.09,96.72,670097.63,25.87,149797.9,5.75,308164.81,11.99,102528.99,3.95,242565.56,8.02,77984.84,2.57,19537.65,0.64,6440.38,0.21,46061.6,3.33,18103.78,1.17,0.33
groupeser,B3,Centre_nord_semi_oceanique_3,Feuillu,s,284115.71,63627415.59,222.81,32604713.45,114.15,6028277.45,21.06,1986771.74,6.95,1660401.81,5.82,841565.21,2.95,792065.64,2.91,410701.04,1.51,183800.21,0.68,94185.08,0.35,684535.95,2.22,336679.09,1.09,0.51
groupeser,B3,Centre_nord_semi_oceanique_3,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,B4,Centre_nord_semi_oceanique_4,Conifere,s,38583.37,6404286.39,162.35,2259708.05,57.62,837498.71,20.3,204062.18,4.98,225864.59,5.78,79085.82,2.04,145006.86,3.79,45662.64,1.19,15626.76,0.41,5513.79,0.15,65230.97,1.58,27909.38,0.7,0.35
groupeser,B4,Centre_nord_semi_oceanique_4,Feuillu,s,554325.58,109870704.69,198.18,55696887.19,100.48,18070802.42,32.38,6117584.45,10.96,2959072.28,5.34,1449968.75,2.62,1480894.43,2.75,727946.5,1.35,739291.57,1.38,374769.96,0.7,738886.28,1.21,347252.3,0.57,0.51
groupeser,B4,Centre_nord_semi_oceanique_4,Mixte,s,36661.17,5942871.95,161.26,2476572.52,67.47,1664936.55,45.48,463420.78,12.59,162870.86,4.39,69147.27,1.88,35022.02,1.07,13232.51,0.41,25131.99,0.84,10473.25,0.35,102716.85,2.49,45441.51,1.12,0.42
groupeser,B5,Centre_nord_semi_oceanique_5,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,B5,Centre_nord_semi_oceanique_5,Feuillu,s,434065.54,97055584.94,223.47,49428895.69,113.82,12400364.42,28.68,4188643.65,9.69,2477183.63,5.72,1249930.54,2.89,1248711.14,3.11,604242.57,1.51,467606.21,1.16,238144.55,0.59,760866.28,1.45,407543.42,0.79,0.51
groupeser,B5,Centre_nord_semi_oceanique_5,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,B6,Centre_nord_semi_oceanique_6,Conifere,s,63362.7,15472995.3,243.5,5699971.72,89.63,1151104.88,18.33,285839.3,4.55,660289.57,10.5,234823.45,3.74,516522.9,8.83,192970.67,3.3,17035.88,0.32,6275.71,0.12,126730.79,1.35,35577.07,0.32,0.37
groupeser,B6,Centre_nord_semi_oceanique_6,Feuillu,s,226484.14,46702535.01,206.17,23755520.62,104.92,6462532.4,28.5,2291861.28,10.12,1267651.53,5.59,640991.17,2.83,591617.11,2.49,283731.99,1.19,282186.98,1.21,143536.07,0.61,393847.44,1.9,213723.11,1.03,0.51
groupeser,B6,Centre_nord_semi_oceanique_6,Mixte,s,30609.29,7643439.1,248.12,3192797.81,103.12,943716.31,31.17,284287.47,9.6,246927.69,7.83,98755.42,3.13,76976.96,3.89,30094.23,1.52,40708.88,1.55,17004.81,0.65,129241.85,2.4,51656.37,0.96,0.42
groupeser,B7,Centre_nord_semi_oceanique_7,Conifere,s,58628.73,12567213.69,214.57,4356278.58,74.42,758743.2,13.1,195423.08,3.39,422046.4,7.16,147105.37,2.5,223794.59,3.69,80729.25,1.33,68840.59,1.12,23862.79,0.39,129411.21,2.35,42513.32,0.78,0.35
groupeser,B7,Centre_nord_semi_oceanique_7,Feuillu,s,249437.57,40004750.64,159.95,20468350.08,81.81,5525224.82,22.04,1968612.98,7.85,1110643.77,4.45,547361.07,2.19,474098.91,2.05,253939.1,1.1,286749.62,1.24,146714.87,0.64,349795.24,1.16,146707.1,0.46,0.51
groupeser,B7,Centre_nord_semi_oceanique_7,Mixte,s,58373.38,10152651.07,172.92,4374911.82,75.01,1242023.61,20.69,347522.86,5.77,336837.09,5.84,141178.6,2.45,191793.69,4.07,77356.7,1.61,62714.1,1.31,27024.34,0.56,82329.3,0.46,36797.56,0.28,0.43
groupeser,B8,Centre_nord_semi_oceanique_8,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,B8,Centre_nord_semi_oceanique_8,Feuillu,s,159185.1,25526278.26,161.16,13933646.28,87.82,4874331.72,30.64,1773027.07,11.19,754863.51,4.78,403977.04,2.55,382856.1,2.5,200356.47,1.31,220608.59,1.4,120420.3,0.76,151398.82,0.88,83200.27,0.48,0.55
groupeser,B8,Centre_nord_semi_oceanique_8,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,B9,Centre_nord_semi_oceanique_9,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,B9,Centre_nord_semi_oceanique_9,Feuillu,s,262344.47,55835640.2,212.78,29005012.65,110.55,8049860,30.58,2884008.74,10.96,1322408.19,5.05,685496.03,2.62,735480.52,3.12,389643.34,1.65,407944.84,1.75,211915.64,0.91,178982.83,0.18,83937.05,0.06,0.52
groupeser,B9,Centre_nord_semi_oceanique_9,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,BX,Centre_nord_semi_oceanique_1_et_2,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,BX,Centre_nord_semi_oceanique_1_et_2,Feuillu,s,281585.49,55329031.43,197.12,29802489.86,106.21,6038131.51,21.44,2063095.18,7.34,1677547.96,5.98,858052.74,3.06,1103705.9,4.01,579703.72,2.11,179880.47,0.65,96891.01,0.35,393961.6,1.32,181458.01,0.6,0.54
groupeser,BX,Centre_nord_semi_oceanique_1_et_2,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,C1,Grand_est_semi_continental_1,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,C1,Grand_est_semi_continental_1,Feuillu,s,91620.49,17715938.28,192.88,9303477.68,101.17,2356086.98,25.05,801857.04,8.49,474756.57,5.21,245110.29,2.68,243362.19,2.71,130700.47,1.45,80014.61,0.88,42019.46,0.46,151379.76,1.62,72390.35,0.77,0.53
groupeser,C1,Grand_est_semi_continental_1,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,C2,Grand_est_semi_continental_2,Conifere,s,51300.66,12953628.69,249.77,4173615.69,80.39,1820282.11,35.64,478700.6,9.39,560908.27,10.75,177634.2,3.41,825182.64,14.76,235690.27,4.21,133687.57,2.26,43073.69,0.73,-397961.94,-6.27,-101129.76,-1.53,0.32
groupeser,C2,Grand_est_semi_continental_2,Feuillu,s,970448.86,162281885,167.05,87486345.12,90.05,27675768.83,28.38,9509668.21,9.75,3994910.21,4.13,2124892.39,2.19,2083311.96,2.31,1136515.35,1.26,1163056.43,1.28,627005.02,0.69,748541.81,0.54,361372.03,0.25,0.54
groupeser,C2,Grand_est_semi_continental_2,Mixte,s,70855.2,15120803.99,212.51,6081265.68,85.21,2376182.44,34.42,711692.84,10.3,473953.41,6.46,180075.52,2.47,517939.99,5.09,171315.85,1.69,382027.72,3.77,153643.42,1.52,-426014.31,-2.4,-144883.75,-0.73,0.4
groupeser,C3,Grand_est_semi_continental_3,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,C3,Grand_est_semi_continental_3,Feuillu,s,319776.48,67068679.64,210.54,35075322.13,110.01,10086404.1,31.14,3355907.83,10.4,1651944.46,5.2,848245.66,2.67,1422952.51,4.59,754655.45,2.43,341763.15,1.11,178733.99,0.58,-112771.2,-0.51,-85143.77,-0.35,0.52
groupeser,C3,Grand_est_semi_continental_3,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,C4,Grand_est_semi_continental_4,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,C4,Grand_est_semi_continental_4,Feuillu,s,116413.78,24349697.71,208.84,12301657.56,105.56,4141183.75,35.56,1332056.48,11.42,658556.76,5.66,327987.54,2.82,409907.15,3.94,214582.93,2.06,242418.87,2.28,122471.91,1.15,6230.74,-0.57,-9067.3,-0.39,0.51
groupeser,C4,Grand_est_semi_continental_4,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,C5,Grand_est_semi_continental_5,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,C5,Grand_est_semi_continental_5,Feuillu,s,405400.01,80550026.59,198.62,41695927.83,102.82,14972902.9,36.83,5316555.76,13.08,2471973.13,6.09,1245498.23,3.07,1423972.89,3.45,713245.8,1.73,719298.58,1.74,372337.83,0.9,328701.66,0.89,159914.6,0.44,0.52
groupeser,C5,Grand_est_semi_continental_5,Mixte,s,27828.62,8373982.57,296.07,3188759.58,113.84,1102715.72,40.99,317548.5,11.82,227582.68,8.12,83113.18,2.99,121056.26,5.27,48565.03,2.05,86039.24,3.1,32763.2,1.18,20487.18,-0.25,1784.95,-0.24,0.38
groupeser,D1,Vosges,Conifere,s,180815.68,68206887.37,376.71,20683262.11,114.27,9984048.97,54.73,2239425.74,12.29,1969181.98,10.96,580812.28,3.23,1729474.39,10.4,488981.25,2.94,257891.32,1.57,78203.74,0.48,-18183.74,-1.01,13627.29,-0.19,0.3
groupeser,D1,Vosges,Feuillu,s,244901.23,59761352.55,244.21,29583544.58,120.87,9042547.16,36.84,3050273.6,12.43,1527233.31,6.24,730206.95,2.98,961744.68,4.03,490805.24,2.05,261590.4,1.09,129494.58,0.54,303898.24,1.12,109907.13,0.39,0.5
groupeser,D1,Vosges,Mixte,s,130099.68,36612720.63,282.43,13918784.43,107.28,6456121.62,49.79,1753974.86,13.49,1109715.45,8.47,407039.52,3.1,932164,5.89,320646.78,2.03,407202.7,2.55,154803.21,0.97,-229651.25,0.03,-68410.47,0.11,0.38
groupeser,E1,Jura_1,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,E1,Jura_1,Feuillu,s,195100.54,32404753.89,165.56,17014274.72,87.04,6702289.21,34.06,2614814.51,13.31,795620.34,4.06,410174.63,2.09,320059.14,1.59,171917.06,0.85,381663.64,1.9,200394.37,1,93897.55,0.57,37863.21,0.25,0.53
groupeser,E1,Jura_1,Mixte,s,41179.06,11560064.76,279.96,4209100.73,101.7,927297.41,22.25,267745.66,6.43,415319.5,9.96,145356.8,3.49,346453.73,7.39,111040.22,2.37,210810.77,4.08,76757.68,1.49,-141945,-1.51,-42441.1,-0.37,0.36
groupeser,E2,Jura_2,Conifere,s,75086.31,30406701.66,404.58,8818656.83,117.52,2973730.96,40.36,676887.33,9.25,823376.92,10.84,229478.39,3.03,1342627.71,16.77,371975.2,4.64,284272.99,3.21,82445.84,0.93,-803523.78,-9.14,-224942.64,-2.54,0.29
groupeser,E2,Jura_2,Feuillu,s,58259.23,12511516.47,214.99,6101021,104.77,2479765.2,41.59,932510,15.64,246688.53,4.27,114160.29,1.98,52860.47,1.07,29152.2,0.61,88488.61,1.83,43149.91,0.89,105339.45,1.36,41858.17,0.48,0.49
groupeser,E2,Jura_2,Mixte,s,110623.48,30405930.43,276.87,10705364.61,97.38,6616957.87,59.24,1763429.94,15.72,828404.75,7.55,279499.8,2.54,710800.18,6.85,222669.52,2.14,229952.8,2.16,80962.12,0.76,-112348.23,-1.46,-24131.84,-0.36,0.35
groupeser,F1,Sud_ouest_oceanique_1,Conifere,s,30012,4940769.59,163.53,1874690.16,61.68,411338.52,12.98,122593.9,3.83,264037.73,8.71,98854.75,3.25,230954.65,8.36,85755.12,3.1,23271.38,0.82,8829.93,0.31,9811.7,-0.46,4269.7,-0.16,0.38
groupeser,F1,Sud_ouest_oceanique_1,Feuillu,s,378090.01,59875445.72,158.75,32596905.29,86.34,14929305.8,39.81,5468288.63,14.58,2096068.05,5.56,1103068.48,2.92,748468.04,1.98,363974.74,0.96,457731.78,1.24,249194.63,0.67,889868.23,2.35,489899.11,1.29,0.54
groupeser,F1,Sud_ouest_oceanique_1,Mixte,s,45283.46,10680019.46,235.9,4830033.07,106.06,1623402.36,34.35,540334.74,11.58,322012.57,7.28,136611.47,3.08,92495.52,2.92,40381.6,1.29,40535.6,1.23,18332.2,0.56,188981.46,3.13,77897.66,1.23,0.45
groupeser,F2,Sud_ouest_oceanique_2,Conifere,s,647608.98,87665047.45,135.8,33316788.44,51.61,3984633.34,6.25,1010794.48,1.59,7366777.44,11.46,2791861.62,4.35,4837974.76,8.52,1813407.21,3.19,72045.83,0.13,27380.76,0.05,2456756.85,2.81,951073.64,1.1,0.38
groupeser,F2,Sud_ouest_oceanique_2,Feuillu,s,204338.54,29414450.4,143.24,15567966.61,76.06,5900941.2,28.26,2035447.73,9.76,1088401.61,5.35,556855.99,2.75,311964.69,1.71,158585.19,0.87,126802.27,0.72,67111.69,0.38,649634.65,2.92,331159.11,1.5,0.53
groupeser,F2,Sud_ouest_oceanique_2,Mixte,s,75798.83,12692947.5,166.02,5766852.6,75.03,1511027.38,18.43,455256.85,5.58,579063.29,7.43,243109.4,3.1,225521.8,2.9,87265.77,1.12,33810.07,0.43,15361.1,0.19,319731.42,4.1,140482.53,1.78,0.45
groupeser,F3,Sud_ouest_oceanique_3,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,F3,Sud_ouest_oceanique_3,Feuillu,s,355089.66,60904255.66,171.58,34009669.7,95.84,10606101.87,29.88,4019032.16,11.32,1680050.13,4.74,907568.77,2.56,358913.99,1.08,184918.24,0.56,315928.69,0.95,176418.38,0.53,1005207.45,2.7,546232.15,1.47,0.56
groupeser,F3,Sud_ouest_oceanique_3,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,F4,Sud_ouest_oceanique_4,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,F4,Sud_ouest_oceanique_4,Feuillu,s,285444.39,26401131,91.69,16484319.72,57.24,3640646.23,12.5,1588298.64,5.46,572590,2,347780.63,1.22,118633.97,0.47,69560.84,0.28,97245.56,0.38,60718.12,0.24,356710.48,1.15,217501.68,0.7,0.62
groupeser,F4,Sud_ouest_oceanique_4,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,F5,Sud_ouest_oceanique_5,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,F5,Sud_ouest_oceanique_5,Feuillu,s,163566.23,29386426.74,179.89,16339817.71,100.05,6122659.2,37.2,2179760.45,13.28,868483.94,5.34,455459.31,2.8,186588.66,1.13,97605.9,0.59,151165.8,0.95,84053.15,0.53,530729.48,3.25,273800.26,1.68,0.56
groupeser,F5,Sud_ouest_oceanique_5,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,G1,Massif_central_1,Conifere,s,80844.86,23852525.23,295.07,7409433.61,91.72,1800563.72,22.31,443697.34,5.5,1174626.81,14.3,359377.08,4.38,1115652.68,11.72,326168.58,3.43,96210.77,1.05,29886.45,0.33,-37236.65,1.53,3322.05,0.62,0.31
groupeser,G1,Massif_central_1,Feuillu,s,481432.03,96076501.89,199.06,50521987.52,104.73,20967189.61,43.4,7196917.26,14.91,2893892.92,6,1448155.69,3,1173055.27,2.57,579521.51,1.27,655042.63,1.44,344455.25,0.76,1065795.01,1.99,524178.93,0.97,0.53
groupeser,G1,Massif_central_1,Mixte,s,61237.94,16701321.95,274.35,6770279.32,110.6,2319018.31,36.72,654775.92,10.33,634638.9,10.51,233630.9,3.87,688806.28,10.64,233890.13,3.59,143651.4,2.22,58232.52,0.9,-197818.78,-2.35,-58491.75,-0.63,0.41
groupeser,G2,Massif_central_2,Conifere,s,314000.46,110929655.23,352.81,33919398.21,107.85,12968590.58,41.12,2989486.75,9.48,3969440.79,12.69,1186622.22,3.79,3638361.75,12.1,1060593.68,3.53,385448.44,1.3,117860.09,0.4,-54369.41,-0.71,8168.44,-0.14,0.31
groupeser,G2,Massif_central_2,Feuillu,s,269095.61,51452979.17,191.13,27193998.37,101,8353225.59,31.07,2805060.8,10.45,1218398.75,4.53,623678.94,2.32,648444.83,2.47,321663.92,1.22,321697.51,1.21,170024.01,0.64,248256.41,0.86,131991.02,0.46,0.53
groupeser,G2,Massif_central_2,Mixte,s,136323.84,31655935.07,232.56,12536906.6,92.1,5774331.78,42.13,1652261.09,12.06,986190.84,7.25,370571.72,2.72,619917.78,4.91,215159.79,1.7,175784.96,1.32,69617.26,0.52,190488.1,1.02,85794.66,0.5,0.4
groupeser,G3,Massif_central_3,Conifere,s,39484.34,14228498.58,361.21,4423983.61,112.51,2154201.35,56.82,496663.45,13.14,422761.89,10.71,126194.05,3.2,304557.79,6.13,87169.77,1.75,83536.41,1.7,25973.49,0.53,34667.7,2.87,13050.79,0.92,0.31
groupeser,G3,Massif_central_3,Feuillu,s,81538.55,16157936.81,198.9,9151592.19,112.51,2442254.74,29.96,893163.35,10.97,310419.73,3.81,164056.37,2.01,13645.89,0.16,7564.89,0.09,74176.27,0.93,42012.23,0.52,222597.56,2.72,114479.26,1.4,0.57
groupeser,G3,Massif_central_3,Mixte,s,30374.6,8831347.97,302.5,3626041.58,123.1,1261236.16,36.46,349655.06,10.15,233374.03,7.82,90065.93,2.99,71674.94,2.68,23980.39,0.89,34693.82,1.31,14244.85,0.54,127005.27,3.83,51840.7,1.56,0.41
groupeser,G4,Massif_central_4,Conifere,s,80681.27,30735758.32,383.03,9389571.34,117.13,3550533.05,44.15,823498.14,10.21,1078296.12,13.45,326530.62,4.08,1136091.75,14.2,336782.03,4.23,165567.5,2.21,50579.78,0.68,-223363.13,-2.96,-60831.19,-0.83,0.31
groupeser,G4,Massif_central_4,Feuillu,s,115904.05,17695456.74,151.04,9679744.72,82.78,3832585.77,33.05,1544069.75,13.39,437681.51,3.72,231752,1.97,150847.89,1.34,79332.28,0.7,171391.57,1.49,93754.39,0.82,115442.04,0.89,58665.34,0.45,0.55
groupeser,G4,Massif_central_4,Mixte,s,50356.15,10338112.48,209.88,4390471.07,89.2,2511757.36,54.65,763517.43,16.79,339254.72,6.65,131078.41,2.56,46525.57,0.88,21777.08,0.42,78807.71,1.58,33468.68,0.67,213921.44,4.18,75832.65,1.47,0.42
groupeser,G5,Massif_central_5,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,G5,Massif_central_5,Feuillu,s,207529.58,35446847.48,170.44,20165267.11,96.91,10926434.67,52.13,4268015.65,20.34,835016.99,4.02,450095.54,2.17,236249.19,1.23,122056.89,0.64,260670.66,1.36,148292.27,0.77,338097.14,1.44,179746.37,0.76,0.57
groupeser,G5,Massif_central_5,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,G6,Massif_central_6,Conifere,s,77438.95,9711075.74,129.36,3552691.12,47.28,1160478.45,16.76,305804.61,4.41,280621.04,3.74,103519.23,1.38,54716.2,0.91,20440.57,0.34,10035.19,0.17,3671.26,0.06,215869.65,2.66,79407.4,0.98,0.37
groupeser,G6,Massif_central_6,Feuillu,s,76756.16,5897364.26,77.29,3688410.3,48.16,1013578.78,12.61,436443,5.54,144149.45,1.87,85613.1,1.11,18074.77,0.3,12261.3,0.2,36040.85,0.49,22541.16,0.31,90033.83,1.07,50810.63,0.59,0.63
groupeser,G6,Massif_central_6,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,G7,Massif_central_7,Conifere,s,68909,20940000,302.09,7198927.32,104.01,2740242.03,38.73,712233.41,10.08,642485.59,9.49,206539.36,3.06,456253.41,8.27,146638.79,2.72,62199.36,1.55,21383.41,0.53,124032.82,-0.33,38517.16,-0.19,0.34
groupeser,G7,Massif_central_7,Feuillu,s,145021.19,17138964.04,117.42,11279448.09,77.39,4787620.79,32.41,2469917.15,16.88,375009.2,2.57,227477.16,1.57,24775.33,0.19,13051.64,0.1,175080.8,1.32,115223.69,0.87,175153.07,1.05,99201.82,0.6,0.66
groupeser,G7,Massif_central_7,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,G8,Massif_central_8,Conifere,s,52112.82,21034952.2,399.6,6331297.58,120.31,1706840.25,32.24,394980.04,7.47,672577.29,12.98,192916.43,3.74,434357.96,8.7,128001.77,2.57,22423.77,0.47,6749.32,0.14,215795.56,3.82,58165.34,1.03,0.3
groupeser,G8,Massif_central_8,Feuillu,s,166631.5,24975050.64,150.39,14161456.96,85.31,3923850.48,23.54,1484491.84,8.94,638482.75,3.84,346679.54,2.08,88002.28,0.61,46337.76,0.32,120956,0.86,68584.98,0.49,429524.46,2.37,231756.81,1.28,0.57
groupeser,G8,Massif_central_8,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,G9,Massif_central_9,Conifere,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,G9,Massif_central_9,Feuillu,s,85838.23,14120141.45,164.31,7350109.55,85.38,2521868.3,28.83,844582.95,9.63,356725.87,4.21,178886.71,2.11,61619.85,0.89,31781.84,0.46,100275.34,1.47,52197.4,0.77,194830.69,1.85,94907.47,0.89,0.52
groupeser,G9,Massif_central_9,Mixte,n.s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
groupeser,H1,Alpes_1,Conifere,s,53232.67,24757163.24,459.04,7112919.98,131.94,3065531.38,57.64,684498.42,12.89,479943.99,8.87,127914.11,2.36,564465.57,8.98,152996.46,2.43,103563.43,1.57,29754.55,0.45,-188085.01,-1.68,-54836.9,-0.52,0.29
groupeser,H1,Alpes_1,Feuillu,s,69687.87,15366782.26,220.97,7827431.32,112.68,3367674.63,50.53,1126695.81,16.74,313229.9,4.5,152990.33,2.2,89201.93,1.31,40892.42,0.6,85508.7,1.23,43555.87,0.63,138519.27,1.96,68542.05,0.97,0.51
groupeser,H1,Alpes_1,Mixte,s,92528.75,31803180.12,343.34,11521636.96,124.26,4469832.93,48.97,1175955.18,12.86,725972.41,7.88,249164.37,2.71,89285.25,1.14,31149.4,0.39,274671.21,3.47,99507.72,1.26,362015.96,3.27,118507.24,1.06,0.36
